PRD_580510CA86824BE7B26B|썬&문 확장팩 제2탄 「알로라의 햇빛」|9|2026-03-26 01:36:31.953458
PRD_A7690D997FD6483B8C54|썬&문 확장팩 제1탄 「문 컬렉션」|8|2026-03-26 01:36:03.295634
PRD_498EC017052748FA9B3C|썬&문 확장팩 제1탄 「썬 컬렉션」|10|2026-03-26 01:35:49.572834
PRD_E8E7DDCB3A754A04BC5A|XY BREAK 확장팩 BASE PACK 20th Anniversary|29|2026-03-26 01:24:56.485572
PRD_83AFAF718E5E44349857|XY BREAK 확장팩 제11탄 「냉혹한 반역자」|8|2026-03-26 01:24:29.894513
PRD_1B1F4A770E5A4B92896A|XY BREAK 확장팩 제8탄 「붉은 섬광」|8|2026-03-26 01:15:07.744792
PRD_1E0575E3D10E43ACBECB|XY 확장팩 제5탄 「타이달스톰」|12|2026-03-26 01:14:03.659429
PRD_F918066FC0EA4F6B9C99|XY 확장팩 제5탄 「가이아 볼케이노」|11|2026-03-26 01:13:50.454317
PRD_42626661804D4BE1B5E2|XY 확장팩 제4탄 「팬텀게이트」|5|2026-03-26 01:06:06.780922
PRD_C2C1ECDBD68A4BC08849|XY 확장팩 제2탄 「와일드 블레이즈」|10|2026-03-26 01:05:38.034816
PRD_258843B22E7940E8A2A6|BW 확장팩 제9탄 「메갈로캐논」|6|2026-03-26 00:56:47.602666
PRD_815E43D10B08494B9B51|BW 확장팩 제8탄 「볼트너클」|4|2026-03-26 00:56:23.248903
PRD_3904E11581AD4E859320|BW 확장팩 제7탄 「플라스마게일」|4|2026-03-26 00:55:55.852216
PRD_FBAE3D3A352E4D5B856D|BW 확장팩 제6탄 「콜드플레어」|3|2026-03-26 00:47:44.218022
PRD_B0A7A04CD1034734B76D|BW 확장팩 제6탄 「프리즈볼트」|4|2026-03-26 00:47:30.701507
PRD_F516B48B00EC4405B043|BW 확장팩 제2탄 「레드 컬렉션」|5|2026-03-26 00:37:47.932104
PRD_6BEB848A7A87407A9FCD|2016 코리안리그 프로모|2|2026-03-25 22:20:13.933404
PRD_31FFADC1995A46C4B218|DP 확장팩 모험의 시작|3|2026-03-25 22:20:13.558183
PRD_AD457F77741848B89753|DP 확장팩 불꽃 튀는 대결|1|2026-03-25 22:20:11.80967
PRD_9768E444383E4DC49E5C|DP 확장팩 시공의 격돌|3|2026-03-25 22:20:11.248363
PRD_B7AE1271CF61494A8B08|DP 확장팩 또 다른 세계|2|2026-03-25 22:20:09.029381
PRD_E3BB9AFC5E4047EEA2E0|DP 확장팩 7개의 신비|2|2026-03-25 22:20:08.358652
PRD_BB9B364579564660B414|DP 확장팩 암흑의 초승달|2|2026-03-25 22:20:06.495234
PRD_05DDEA7A6EB1402BA37B|DP 확장팩 보이지 않는 힘|1|2026-03-25 22:20:04.591035
PRD_90AA859558D449D4A776|DP 확장팩 화려한 전설|2|2026-03-25 22:20:03.80901
PRD_B3DED462DD5E47C0ADDD|DP 확장팩 호수의 기적|3|2026-03-25 22:20:02.572441
PRD_F1AC5248C3E34B408BFD|BW 확장팩 제1탄 「블랙 컬렉션」|1|2026-03-25 22:19:59.536686
PRD_1B7E1128D4A34947BFA3|BW 확장팩 제1탄 「화이트 컬렉션」|2|2026-03-25 22:19:57.907011
PRD_68FE3CF5A620409F8298|BW 확장팩 제3탄 「헤일 블리자드」|2|2026-03-25 22:19:54.635819
PRD_D26FF272537E40BCB70E|BW 확장팩 제3탄 「사이코 드라이브」|3|2026-03-25 22:19:52.703955
PRD_52F25CD879E2435AB037|BW 확장팩 제5탄 「드래곤 블라스트」|2|2026-03-25 22:19:48.855209
PRD_7F3B825CBCB341F78921|BW 확장팩 제5탄 「드래곤 블레이드」|1|2026-03-25 22:19:47.010064
PRD_FF9AC7CB363846D0A190|BW 확장팩 「샤이니 컬렉션」|5|2026-03-25 22:19:37.848091
PRD_A28DEA2BDF4745EEBEF4|BW 확장팩 「EX 배틀 부스트」|8|2026-03-25 22:19:34.519811
PRD_53EB7B68B0224C239C02|XY 확장팩 제1탄 「X컬렉션」|4|2026-03-25 22:19:32.341139
PRD_9977B6F18CD34810B58A|XY 확장팩 제1탄 「Y컬렉션」|6|2026-03-25 22:19:22.918862
PRD_07350E5B503F4B7E8115|XY 확장팩 「마그마단vs아쿠아단 더블크라이시스」|2|2026-03-25 22:19:17.672261
PRD_1C6DC92B6C1C4A56A692|XY 확장팩 「레전드 컬렉션」|1|2026-03-25 22:19:08.554742
PRD_46D8E6F1D6A94A918F5A|XY BREAK 확장팩 「포켓심쿵 컬렉션」|4|2026-03-25 22:19:05.449132
PRD_F4FEB5AEAFD341BE97EA|XY BREAK 확장팩 「프리미엄 챔피언팩」|15|2026-03-25 22:19:04.807124
PRD_CBD194134D1F48C5B86E|XY BREAK 확장팩 제11탄 「타오르는 투사」|7|2026-03-25 22:19:01.447647
PRD_8E7CED8394594453A32D|썬&문 강화 확장팩 「썬&문」|11|2026-03-25 22:18:48.972714
PRD_F3ACAED44CEB47F5A6A0|BW 프로모 카드|3|2026-03-25 22:18:27.078433
