CRD_10FA5F0FB2BB48E0A8F5|RR|EN|305|230|1698|1698
CRD_112139C75D774E75BDDA|SSR|JP|308|280|804|804
CRD_1123601A6CCD4FB19606|SR|EN|64262|64245|647703|647703
CRD_113220EE585F46CDB3E3|RR|EN|3774|2850|20983|20983
CRD_115109E7938F4445A01C|RR|EN|179|120|994|994
CRD_11628ECE200A4601B5D4|RR|EN|28819|28462|160217|160217
CRD_1164B69A14F3417EBA5C|RR|EN|750|530|7173|7173
CRD_1189D005D21D4ED69DBF|RR|JP|356|290|1062|1062
CRD_11AB40F57D03470A986E|AR|JP|2250|2160|7935|8131
CRD_11B811456C5D4DCE8A05|SR|JP|10505|10350|28208|27852
CRD_11B89035B69F4696A10B|SR|EN|5311|6511|9008|9008
CRD_11C10BF531B64E59B61C|SR|JP|8326|8324|106192|106173
CRD_11D6E395867B46F49FE8|HR|JP|10230|12220|31817|31811
CRD_11D9A92DB3D34830BCAB|SAR|JP|14270|14420|46799|46920
CRD_11DE00F8CE7D4AF1B990|MA|EN|19080|9280|113657|115578
CRD_11E419D20A2A499FAFC6|SAR|EN|19990|20190|119741|119461
CRD_11E8AAB5199A493C9515|RR|JP|2158|1750|6448|6447
CRD_12014650482C4314AA47|SR|JP|891|891|11364|11364
CRD_121C03E944C44190B954|SR|JP|393|392|5007|5006
CRD_12350A5EE2C042EBA371|SR|JP|24100|23890|73693|73679
CRD_123A0C58771F4B76BBFE|SR|EN|14000|14316|34593|34587
CRD_125EACE4FC044F7B9D44|RR|EN|180|130|1789|1789
CRD_12724DE193F242D89D06|RR|EN|187|130|1040|1040
CRD_128A2046607444A389E9|SAR|JP|5040|5050|16432|16429
CRD_128F70C0C950473788AA|RR|EN|190|140|1162|1162
CRD_12ADDDFE82F540F7B1D3|RR|EN|210|140|1269|1269
CRD_12EFBAE37D35433DB103|PR|PROMO_DIRECT|296358|303485||
CRD_13157CF56E204E5E81EA|AR|EN|940|850|9895|9895
CRD_133D1F0A2A76442793E4|RR|EN|3384|2380|18662|18659
CRD_135AB4B5F4794E8BAB7F|AR|EN|2550|2370|33577|32205
CRD_135EC26698D0487B9383|RR|EN|140|100|1254|1254
CRD_1383604BEB0C4B209BFE|HR|EN|3187|3186|8977|8977
CRD_13901C5572724AADB8AA|RR|EN|195|150|1086|1086
CRD_13962B7254BB4EC68492|RR|JP|1193|970|3566|3565
CRD_13997FDA2FAB493982D6|SR|JP|559|564|1517|1517
CRD_13AB6AC593DB41D7A45B|PR|JP|519|519|6069|6068
CRD_13D179FEFB764051B2F2|RR|EN|228|190|1138|1426
CRD_13F9528AE66A482F9AC7|RR|EN|4070|2840|25277|25273
CRD_143023DAF60545D2B327|RR|EN|310|210|2065|2065
CRD_143F9BB41FBA43D5B5DE|RR|EN|220|150|1438|1438
CRD_144F4E4E8E2B4DBD8115|SR|EN|1853|1853|11119|11119
CRD_147D2B78F8B043E3BB91|SR|JP|174970|174930|699832|699702
CRD_1490247326A741529076|SM-P|PROMO_DIRECT|761822|757727||
CRD_149DFDDE8D3144968EE9|AR|EN|1540|1540|28297|26486
CRD_14BFE9EA9D1D474194DF|SR|JP|1390|1409|3793|3792
CRD_14CFDC4FCADA4F70A670|RR|JP|173|140|516|516
CRD_14D2B39ACE854972906D|SR|EN|1425|1319|2416|2416
