CRD_269A7AD114DA491CA9AC|레시라무 ex|139340
CRD_262F67E35B964E6B9C67|야도킹 ex|2450
CRD_26947826E457449096C5|마스터드 연격의 태세|1859
CRD_26AE57743E2F41B084F2|차곡차곡 GX|780
CRD_2D4AA6D08A11483FA5DB|무쇠가시 ex|110
CRD_2165621DAD614A36A40F|지우의 피카츄|27253
CRD_0FAEC0B6410647398E22|메가아쿠스타 ex|9078
CRD_322DAF78A9B34EA2B745|연격 우라오스 VMAX|3998
CRD_274ED0D22EC54F229DAE|포켓몬 브리더|2910
CRD_2E2D7916E97E4BB997FF|토게키스 V|290
CRD_275591C4CE6A45D2A1B4|메가이어롭 ex|6415
CRD_2893BDF7C7674E7A8E66|게치스플라스마단|11976
CRD_088EFCFA66FD4762A236|파이어로 BREAK|75848
CRD_297BD701806B4583B02D|헬가|4160
CRD_27858E2B38CF47A7A939|페르시온|6790
CRD_27E9FB0B75EB487ABBF6|가디안 EX|4090
CRD_2816C9B402A643F99D42|이상해꽃 ex|3840
CRD_2938D81021984B85A99B|로켓단의 페르시온 ex|240
CRD_2951B02D3BE7488DA649|피카츄|5720
CRD_29E55FFA536646B6A891|히스이 블레이범 VSTAR|5510
CRD_0421FACBD6704E71B2CE|입치트 EX|1232
CRD_2ACE89E68BFA4F5BA7C3|석탄산 V|1556
CRD_2BAD952E439344719A81|레쿠쟈 VMAX|33022
CRD_278AFBE27D01417B9CBC|칼라마네로|2355
CRD_29E34E5A35CC4FFAB36C|후파 EX|8818
CRD_2A2C765236DC4E0DA39B|비크티니 V|370
CRD_3935851BE6988D5F34B3|부스터 ex|31640
CRD_2A791989EEEC43F481BB|메가지가르데 ex|15512
CRD_2A8D1058C4D1432DA733|버터플 V|2959
CRD_2ADA9594E1954CF89E7B|깨봉이|3420
CRD_2B58D40C1AE74F69A349|성화|3350
CRD_2BDD89F3616849468EE4|데스니칸|2090
CRD_2CC63A0C3FDE4901A41B|모노두|4500
CRD_2AFC7629A65B45FBBCC8|복숭악동 ex|5080
CRD_0AD2B95BE4924784A6C4|바닐리치|1820
CRD_0F321114788E4CC0A5AB|플라이곤 EX|4491
CRD_2940721DC8F64D6382C2|M앱솔 EX|13801
CRD_2B9182A2EF634F7E8973|올림박사의 기백|5590
CRD_2BD596750DCC46F5BF44|달코퀸 ex|998
CRD_2C1DA4E5D17E428CB8AF|M얼음귀신 EX|5630
CRD_2C78DB6891D243219B2F|비퀸 ex|879
CRD_2E403B756FE641CB89FF32CEB4BDDB4E|메가망나뇽 ex|227560
CRD_330E7648167E59934C965289F6483878|요코하마 피카츄 (281)|1894000
CRD_2D4779F86C774DBFA501|청목의 수완|868
CRD_2D086E56EA5A4353922E|알로라나인테일 GX|2977
CRD_2D3476E6CBAD4BDCB062|메타몽 VMAX|850
CRD_2D610AC70AB04D4887B7|귀뚤톡크 V|1670
