CRD_0B84E98684704E7CBB0F,2140,RAW,VALID
CRD_0BB77FE2EEEC4F359733,1230,RAW,VALID
CRD_0BBA24DF2AA04E9F8934,803,RAW,VALID
CRD_0BCE4311895A4715B616,924,RAW,VALID
CRD_0BDAE7D89E874FAF958A,121836,RAW,VALID
CRD_0BDC07CD5DF04DCC8A26,33011,RAW,VALID
CRD_0C0972C263B343A4BB0D,213,RAW,VALID
CRD_0C103A2D31494C7580E2,9280,RAW,VALID
CRD_0C126096DBBD4B00BFB9,780,RAW,VALID
CRD_0C248A94127B49FB8F15,1930,RAW,VALID
CRD_0C3A374FCCE5445B84A9,8030,RAW,VALID
CRD_0C3B052D2AB54CD8908B,160,RAW,VALID
CRD_0C3B183FCB4142F2B7B8,2595,RAW,VALID
CRD_0C741136B4054397BC6E,8157,RAW,VALID
CRD_0C99B90A478B44A1BA11,3824,RAW,VALID
CRD_0CB06AA60B6E4470B9A9,730,RAW,VALID
CRD_0CE1AB32F2CE46FFAA8B,5060,RAW,VALID
CRD_0CE6EEB1A26B404D9703,480,RAW,VALID
CRD_0CFBA7BBD78645C38955,5486,RAW,VALID
CRD_0D1FEC3632AD4FED9507,17180,RAW,VALID
CRD_0D218B96159B4E51AEC8,2020,RAW,VALID
CRD_0D226425CE0B4E138078,530,RAW,VALID
CRD_0D4FF129CB84410FBD8E,272,RAW,VALID
CRD_0D5CD6FAF42744938562,234,RAW,VALID
CRD_0D77F9604B9641DF9650,6540,RAW,VALID
CRD_0DB9B4215B8140FAAA2E,270,RAW,VALID
CRD_0DE14A2FC85947DF989A,929,RAW,VALID
CRD_0DF80E4557DE4819B172,798,RAW,VALID
CRD_0DF9D911B2F24858BFB0,1170,RAW,VALID
CRD_0E12AB50D23D4953B0AF,990,RAW,VALID
CRD_0E1312500C6C4F61A04D,4252,RAW,VALID
CRD_0E1AC369063E4E869847,3590,RAW,VALID
CRD_0E3023BFDFCA4815BC48,520,RAW,VALID
CRD_0E33DD1809A342308392,882,RAW,VALID
CRD_0E3F03D6041B4CED87B9,1460,RAW,VALID
CRD_0E49A59862734A4BA71B,2478,RAW,VALID
CRD_0E5CE3102B684AB7B177,839,RAW,VALID
CRD_0E86D1DB89544CD7A643,4590,RAW,VALID
CRD_0E88D3F2434C477CA856,600,RAW,VALID
CRD_0E8F6A83F9C24975A316,1770,RAW,VALID
CRD_0EA9A767E8E64BC7B5D3,6340,RAW,VALID
CRD_0ED2317A116F4980A7F8,253,RAW,VALID
CRD_0ED50328C342401E80A4,8387,RAW,VALID
CRD_0EDD68B570E1472FB48A,842,RAW,VALID
CRD_0EE4BA587BCC48B1B807,9020,RAW,VALID
CRD_0EF858A4F6FE457E848E,898,RAW,VALID
CRD_0F292DCC6C0240B4B017,1820,RAW,VALID
CRD_0F321114788E4CC0A5AB,4492,RAW,VALID
CRD_0F66DA7EFE8642B8BEC7,381,RAW,VALID
CRD_0F7A7025AB184454A00D,508,RAW,VALID
CRD_0F7BC33D863F44F7AA78,2399,RAW,VALID
CRD_0F804851962E40E59955,24850,RAW,VALID
CRD_0F8A51DF3CF3497BAD9D,1145,RAW,VALID
CRD_0F948BF5021D42F9BF8F,1220,RAW,VALID
CRD_0F9E29696D0647A2A431,1220,RAW,VALID
CRD_0FA5E598B8704A0E83CC,580,RAW,VALID
CRD_0FAEC0B6410647398E22,9137,RAW,VALID
CRD_0FC31AECDE1C40D58A1B,2763,RAW,VALID
CRD_0FC33162C1024EF6B657,810,RAW,VALID
CRD_0FD962247951488C809E,8070,RAW,VALID
CRD_0FDC1A9392234CDCB81C,432,RAW,VALID
CRD_0FF5866665394D78AEEA,3840,RAW,VALID
CRD_0FF5AA22F1EE4EE0BE22,360,RAW,VALID
CRD_0FFC051368D048A489A8,10560,RAW,VALID
CRD_0FFEF15EE9E045CABE6F,35890,RAW,VALID
CRD_1001E20102E24B2DA20C,44055,RAW,VALID
CRD_100CD4F587424353BDEA,1591,RAW,VALID
CRD_1019C2CFB1EE47139FD8,950,RAW,VALID
CRD_10433F25F9E74294B2FC,8162,RAW,VALID
CRD_1050F085B2EE449DB943,1050,RAW,VALID
CRD_1095F9AF338D45BD8BCC,711,RAW,VALID
CRD_10C2A523B328418CA28E,817,RAW,VALID
CRD_10CAB872C0EE49CAAAAC,9038,RAW,VALID
CRD_10E17E66F341491EB014,1041,RAW,VALID
CRD_10E2C02673E94810BC08,6280,RAW,VALID
CRD_10FA5F0FB2BB48E0A8F5,305,RAW,VALID
CRD_112139C75D774E75BDDA,308,RAW,VALID
CRD_1123601A6CCD4FB19606,64262,RAW,VALID
CRD_113220EE585F46CDB3E3,3774,RAW,VALID
CRD_115109E7938F4445A01C,179,RAW,VALID
CRD_11628ECE200A4601B5D4,28819,RAW,VALID
