code,ko_name,ko_set,rarity,ko_no,type,jp_ref,score,match_prod,match_cid
BS2022001123,두랄루돈 VMAX,소드&실드 하이클래스팩 「VMAX 클라이맥스」,RRR,123,V진화,swsh8b_ja-123,0.692,두랄루돈 VMAX,CRD_1A87BECFAC1647F98FBC
BS2022001196,가디안,소드&실드 하이클래스팩 「VMAX 클라이맥스」,CHR,196,2진화 포켓몬,swsh8b_ja-196,0.522,차데스,CRD_F72303775E8749409E5B
BS2022001198,야느와르몽,소드&실드 하이클래스팩 「VMAX 클라이맥스」,CHR,198,2진화 포켓몬,swsh8b_ja-198,0.492,무쇠손 ex,CRD_E199C322E0DF4D0A881B
BS2022001201,마휘핑,소드&실드 하이클래스팩 「VMAX 클라이맥스」,CHR,201,1진화 포켓몬,swsh8b_ja-201,0.51,마이농,CRD_0A536D17231946EBBE81
BS2022001237,가라르 썬더 V,소드&실드 하이클래스팩 「VMAX 클라이맥스」,CSR,237,기본 포켓몬,swsh8b_ja-237,0.635,번치코,CRD_F28F173457F54FE4BE06
BS2022001251,자마젠타 V,소드&실드 하이클래스팩 「VMAX 클라이맥스」,CSR,251,기본 포켓몬,swsh8b_ja-251,0.689,자마젠타 V,CRD_2A1A9C89BB3947378F7C
BS2022001253,두랄루돈 VMAX,소드&실드 하이클래스팩 「VMAX 클라이맥스」,CSR,253,V진화,swsh8b_ja-253,0.663,두랄루돈 VMAX,CRD_1A87BECFAC1647F98FBC
BS2022002014,리자몽 V,소드&실드 확장팩 「스타버스」,RR,014,기본 포켓몬,swsh9_ja-14,0.557,다태우지네 V,CRD_97AC02D307514BA797A4
BS2022002050,엘풍 VSTAR,소드&실드 확장팩 「스타버스」,RRR,050,V진화,swsh9_ja-50,0.66,레지기가스 VSTAR,CRD_B13EADBBACFC415DBE7D
BS2022002064,돈크로우 V,소드&실드 확장팩 「스타버스」,RR,064,기본 포켓몬,swsh9_ja-64,0.53,히스이 모크나이퍼 V,CRD_BCA5D115D41A4E2A875F
BS2022004123,히스이 대검귀 V,소드&실드 강화 확장팩 「배틀리전」,SR,078,기본 포켓몬,swsh9a_ja-78,0.459,가비루사,CRD_8ACEB76FEF1F4466B0B9
BS2022008076,하랑우탄 V,소드&실드 확장팩 「스페이스 저글러」,SR,076,기본 포켓몬,swsh10p_ja-76,0.626,루가루암 VMAX,CRD_7287BB47FFDE4919A94C
BS2022011129,러브로스 V,소드&실드 강화 확장팩 「다크판타스마」,SR,080,기본 포켓몬,swsh10a_ja-80,0.375,에이스번 ex,CRD_A497F0378C1349F19C8B
BS2022011137,러브로스 V,소드&실드 강화 확장팩 「다크판타스마」,CSR,088,기본 포켓몬,swsh10a_ja-88,0.606,아세로라의 장난,CRD_3392C238DFEC4357BA88
BS2022014102,로토무 V,소드&실드 확장팩 「로스트어비스」,SR,103,기본 포켓몬,swsh11_ja-103,0.44,아쿠스타 V,CRD_882A64CAAD1048D2BE8D
BS2022014103,로토무 V,소드&실드 확장팩 「로스트어비스」,SR,104,기본 포켓몬,swsh11_ja-104,0.492,로켓단의 나옹,CRD_218DB829F1974CEA95DF
BS2022016073,루브도,소드&실드 강화 확장팩 「백열의 아르카나」,CHR,073,기본 포켓몬,swsh11a_ja-73,0.44,메가디안시 ex,CRD_59D948D23D9B4A8997F2
BS2022016076,레시라무 V,소드&실드 강화 확장팩 「백열의 아르카나」,SR,076,기본 포켓몬,swsh11a_ja-76,0.713,레시라무 ex,CRD_3F605DD9C57145F4A405
BS2022016079,마기아나 V,소드&실드 강화 확장팩 「백열의 아르카나」,SR,079,기본 포켓몬,swsh11a_ja-79,0.64,마기아나 EX,CRD_9E959C4AF6BA480FA670
BS2022016080,칠색조 V,소드&실드 강화 확장팩 「백열의 아르카나」,SR,080,기본 포켓몬,swsh11a_ja-80,0.73,심향의 칠색조 ex,CRD_5B85A98483504BD2B701
BS2021002075,네크로즈마 V,소드&실드 확장팩 「연격마스터」,SR,075,기본 포켓몬,swsh5r_ja-75,0.698,무한다이노 VMAX,CRD_9A16B5CDB26D4457BDC6
BS2021004047,레파르다스 V,소드&실드 확장팩 「백은의 랜스」,RR,047,기본 포켓몬,swsh6h_ja-77,0.501,갸라도스 GX,CRD_64C02283DD0E49BEA124
BS2021004077,레파르다스 V,소드&실드 확장팩 「백은의 랜스」,SR,077,기본 포켓몬,swsh6h_ja-77,0.513,스트린더 V,CRD_4F48AF7F7CD84E0EA0B1
BS2021011031,더스트나 VMAX,소드&실드 확장팩 「마천퍼펙트」,RRR,031,V진화,swsh7d_ja-31,0.591,모르페코 VMAX,CRD_7E8265C1D8B44E03910F
BS2021015022,공중날기 피카츄 VMAX,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,RRR,022,V진화,swsh8a_ja-22,0.542,피카츄 VMAX,CRD_43A31E18194141E18BFC
BS2021015024,파도타기 피카츄 VMAX,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,RRR,024,V진화,swsh8a_ja-24,0.737,피카츄 VMAX,CRD_E7759AA33E7B4CA9AE03
BS2021018015,샹델라 VMAX,소드&실드 확장팩 「퓨전아츠」,RRR,015,V진화,swsh8_ja-15,0.691,샹델라 V,CRD_0B17CA38B6334F20B964
BS2020003065,자마젠타 V,소드&실드 확장팩 「실드」,SR,065,기본 포켓몬,swsh1h_ja-65,0.683,자마젠타 V,CRD_2A1A9C89BB3947378F7C
BS2020012077,자루도 V,소드&실드 강화 확장팩 「전설의 고동」,SR,077,기본 포켓몬,swsh3a_ja-77,0.648,히스이 윈디 V,CRD_99B80601C8BF404186BC
BS2020014107,드래피온 V,소드&실드 확장팩 「앙천의 볼트태클」,SR,107,기본 포켓몬,swsh4_ja-107,0.53,드래피온 VSTAR,CRD_9F777E2B3AF448D78288
