officialCardCode,name,rarityCode,collectionNumber,productId,_ko_set_name,jpScrydexRef,enScrydexRef,superType,type
BS2022016076,레시라무 V,SR,076,PRD_0C8B6847314E495B9C8E,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-76,,POKEMON,KO
BS2022016079,마기아나 V,SR,079,PRD_0C8B6847314E495B9C8E,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-79,,POKEMON,KO
BS2022016080,칠색조 V,SR,080,PRD_0C8B6847314E495B9C8E,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-80,,POKEMON,KO
BS2021002075,네크로즈마 V,SR,075,PRD_AD7B5C4F802F4D64BE90,소드&실드 확장팩 「연격마스터」,swsh5r_ja-75,,POKEMON,KO
BS2021004077,레파르다스 V,SR,077,PRD_83E04A9A71A74A88AB44,소드&실드 확장팩 「백은의 랜스」,swsh6h_ja-77,,POKEMON,KO
BS2021011031,더스트나 VMAX,RRR,031,PRD_BCB8045CC957488BB992,소드&실드 확장팩 「마천퍼펙트」,swsh7d_ja-31,,POKEMON,KO
BS2021011049,두랄루돈 VMAX,RRR,049,PRD_BCB8045CC957488BB992,소드&실드 확장팩 「마천퍼펙트」,swsh7d_ja-49,,POKEMON,KO
BS2021012047,레쿠쟈 VMAX,RRR,047,PRD_3AD5C945B465480BA36C,소드 & 실드   확장팩   「창공스트림」,swsh7r_ja-47,,POKEMON,KO
BS2021015022,공중날기 피카츄 VMAX,RRR,022,PRD_86CB08E319C24F4E9766,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,swsh8a_ja-22,,POKEMON,KO
BS2021015024,파도타기 피카츄 VMAX,RRR,024,PRD_86CB08E319C24F4E9766,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,swsh8a_ja-24,,POKEMON,KO
BS2021018015,샹델라 VMAX,RRR,015,PRD_3BEB5A9863D54FE7BE25,소드&실드 확장팩 「퓨전아츠」,swsh8_ja-15,,POKEMON,KO
BS2020003065,자마젠타 V,SR,065,PRD_FC1A7B5927A44298A2A2,소드&실드 확장팩 「실드」,swsh1h_ja-65,,POKEMON,KO
BS2020011107,핫삼 V,SR,107,PRD_91D480C53D3248F79831,소드&실드 확장팩 「무한존」,swsh3_ja-107,,POKEMON,KO
BS2020012033,자시안,A,033,PRD_0A7EE93DE4014CF7A4B6,소드&실드 강화 확장팩 「전설의 고동」,swsh3a_ja-33,,POKEMON,KO
BS2020012044,자마젠타,A,044,PRD_0A7EE93DE4014CF7A4B6,소드&실드 강화 확장팩 「전설의 고동」,swsh3a_ja-44,,POKEMON,KO
BS2020012050,지라치,A,050,PRD_0A7EE93DE4014CF7A4B6,소드&실드 강화 확장팩 「전설의 고동」,swsh3a_ja-50,,POKEMON,KO
BS2020012056,레쿠쟈,A,056,PRD_0A7EE93DE4014CF7A4B6,소드&실드 강화 확장팩 「전설의 고동」,swsh3a_ja-56,,POKEMON,KO
BS2020012077,자루도 V,SR,077,PRD_0A7EE93DE4014CF7A4B6,소드&실드 강화 확장팩 「전설의 고동」,swsh3a_ja-77,,POKEMON,KO
BS2020014107,드래피온 V,SR,107,PRD_32C23D5FA71F45ADB572,소드&실드 확장팩 「앙천의 볼트태클」,swsh4_ja-107,,POKEMON,KO
BS2020016323,메타몽 V,SSR,323,PRD_595A32AA23664B6ABD92,소드&실드 하이클래스팩 「샤이니스타 V」,swsh4a_ja-323,,POKEMON,KO
