code,series,product_id,product_status,ko_name,collection_no,rarity,super_type,sub_type,jp_ref,en_ref,ko_img,jp_img,en_img,reviewer_decision,review_source_version,card_id
BS2024011076,sv6a_ja,PRD_7293190A22224C0598D5,RESOLVED_BY_SETNAME,이븐곰,076,AR,POKEMON,STAGE1,sv6a_ja-76,sv6pt5-79,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6a/SV6a_076.png?w=512,https://images.scrydex.com/pokemon/sv6a_ja-76/medium,https://images.scrydex.com/pokemon/sv6pt5-79/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_ACAF140D77EEE16424E1
BS2024016081,sv7a_ja,PRD_3FAB90CDEC7C43B6A8DF,OK,알로라 나시 ex,081,SR,POKEMON,STAGE1,sv7a_ja-81,sv8-225,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7a/SV7a_081.png?w=512,https://images.scrydex.com/pokemon/sv7a_ja-81/medium,https://images.scrydex.com/pokemon/sv8-225/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_D773344F12828473CD06
BS2024016089,sv7a_ja,PRD_3FAB90CDEC7C43B6A8DF,OK,알로라 나시 ex,089,SAR,POKEMON,STAGE1,sv7a_ja-89,sv8-242,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7a/SV7a_089.png?w=512,https://images.scrydex.com/pokemon/sv7a_ja-89/medium,https://images.scrydex.com/pokemon/sv8-242/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_26A53A13CEEDA2B3A1B4
BS2024016092,sv7a_ja,PRD_3FAB90CDEC7C43B6A8DF,OK,알로라 나시 ex,092,UR,POKEMON,STAGE1,sv7a_ja-92,sv8-248,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7a/SV7a_092.png?w=512,https://images.scrydex.com/pokemon/sv7a_ja-92/medium,https://images.scrydex.com/pokemon/sv8-248/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_943445778F098066A8F4
BS2024019222,sv8a_ja,PRD_D26383A636BE42F09D6B,RESOLVED_BY_SETNAME,날뛰는우레 ex,222,SAR,POKEMON,BASIC,sv8a_ja-222,sv8pt5-166,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8a/SV8a_222.png?w=512,https://images.scrydex.com/pokemon/sv8a_ja-222/medium,https://images.scrydex.com/pokemon/sv8pt5-166/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_89D60E67C38EA29F1DC2
BS2023007089,sv1v_ja,PRD_5AD4DD681C694EAC8DDA,OK,떨구새,089,AR,POKEMON,BASIC,sv1v_ja-89,sv1-219,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1V/SV1V_089.png?w=512,https://images.scrydex.com/pokemon/sv1v_ja-89/medium,https://images.scrydex.com/pokemon/sv1-219/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_1AF396E7442011F20F00
BS2023010075,sv1a_ja,PRD_FC339076828C45ED9BA0,OK,나오하,075,AR,POKEMON,BASIC,sv1a_ja-75,sv2-196,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1a/SV1a_075.png?w=512,https://images.scrydex.com/pokemon/sv1a_ja-75/medium,https://images.scrydex.com/pokemon/sv2-196/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_C1D57B8B7B35C7ECE1FC
BS2023011089,sv2p_ja,PRD_514C148400944D8AA72F,OK,시비꼬 ex,089,SR,POKEMON,BASIC,sv2p_ja-89,sv2-247,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_089.png?w=512,https://images.scrydex.com/pokemon/sv2p_ja-89/medium,https://images.scrydex.com/pokemon/sv2-247/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_25251C19A57081F5E42B
BS2023012080,sv2d_ja,PRD_66FB8C2B312E46E081B1,OK,태깅구르,080,AR,POKEMON,STAGE1,sv2d_ja-80,sv2-223,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2D/SV2D_080.png?w=512,https://images.scrydex.com/pokemon/sv2d_ja-80/medium,https://images.scrydex.com/pokemon/sv2-223/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_7316D576A7F66A4CB338
BS2023015127,sv3_ja,PRD_C017B01380CF490A9480,OK,부르르룸 ex,127,SR,POKEMON,STAGE1,sv3_ja-127,sv3-216,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_127.png?w=512,https://images.scrydex.com/pokemon/sv3_ja-127/medium,https://images.scrydex.com/pokemon/sv3-216/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_70BA4386D40400E2AC36
BS2023015135,sv3_ja,PRD_C017B01380CF490A9480,OK,부르르룸 ex,135,SAR,POKEMON,STAGE1,sv3_ja-135,sv3-224,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_135.png?w=512,https://images.scrydex.com/pokemon/sv3_ja-135/medium,https://images.scrydex.com/pokemon/sv3-224/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_CC360F6BBA05BFB38128
BS2023020079,sv3a_ja,PRD_B7309AB1FDF64E4EA6B1,OK,타부자고 ex,079,SR,POKEMON,STAGE1,sv3a_ja-79,sv4-231,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3a/SV3a_079.png?w=512,https://images.scrydex.com/pokemon/sv3a_ja-79/medium,https://images.scrydex.com/pokemon/sv4-231/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_331E1FDCBECBFA41AEA9
BS2023021072,sv4k_ja,PRD_8E32996A2E964C128DBF,OK,비조도,072,AR,POKEMON,STAGE1,sv4k_ja-72,sv4-200,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_072.png?w=512,https://images.scrydex.com/pokemon/sv4k_ja-72/medium,https://images.scrydex.com/pokemon/sv4-200/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_AF4C346FDD977213161F
BS2023021075,sv4k_ja,PRD_8E32996A2E964C128DBF,OK,더스트나,075,AR,POKEMON,STAGE1,sv4k_ja-75,sv4-204,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_075.png?w=512,https://images.scrydex.com/pokemon/sv4k_ja-75/medium,https://images.scrydex.com/pokemon/sv4-204/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_3520EA33302182486E9D
BS2023022077,sv4m_ja,PRD_245223BF212C456385F3,OK,폴리곤Z,077,AR,POKEMON,STAGE2,sv4m_ja-77,sv4-214,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_077.png?w=512,https://images.scrydex.com/pokemon/sv4m_ja-77/medium,https://images.scrydex.com/pokemon/sv4-214/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_878B1A3CBFFA573EE2CE
BS2022002050,swsh9_ja,PRD_FA60964DC9AC4C999AC2,OK,엘풍 VSTAR,050,RRR,POKEMON,AUTO(scrydex),swsh9_ja-50,swsh9-65,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S9/S9_050.png?w=512,https://images.scrydex.com/pokemon/swsh9_ja-50/medium,https://images.scrydex.com/pokemon/swsh9-65/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_DF8B9319DDD84975E5C1
BS2022004123,swsh9a_ja,PRD_B6A92B9A3823440F8F49,OK,히스이 대검귀 V,078,SR,POKEMON,BASIC,swsh9a_ja-78,swsh10-176,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S9a/S9a_078.png?w=512,https://images.scrydex.com/pokemon/swsh9a_ja-78/medium,https://images.scrydex.com/pokemon/swsh10-176/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_18E0A0EBCAEFC42D7567
BS2022008076,swsh10p_ja,PRD_7DF9CF9792C3451BBA08,OK,하랑우탄 V,076,SR,POKEMON,BASIC,swsh10p_ja-76,swsh10-179,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S10/S10P_076.png?w=512,https://images.scrydex.com/pokemon/swsh10p_ja-76/medium,https://images.scrydex.com/pokemon/swsh10-179/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_67A190424D479A4DA947
BS2022014102,swsh11_ja,PRD_D85C098E2C3449848167,OK,로토무 V,103,SR,POKEMON,BASIC,swsh11_ja-103,swsh11-176,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S11/S11_103.png?w=512,https://images.scrydex.com/pokemon/swsh11_ja-103/medium,https://images.scrydex.com/pokemon/swsh11-176/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_D17A00BDB2C9E0FCE3F8
BS2022014103,swsh11_ja,PRD_D85C098E2C3449848167,OK,로토무 V,104,SR,POKEMON,BASIC,swsh11_ja-104,swsh11-177,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S11/S11_104.png?w=512,https://images.scrydex.com/pokemon/swsh11_ja-104/medium,https://images.scrydex.com/pokemon/swsh11-177/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_C292A16ECBF9501D972E
BS2022016079,swsh11a_ja,PRD_0C8B6847314E495B9C8E,OK,마기아나 V,079,SR,POKEMON,BASIC,swsh11a_ja-79,swsh12-182,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S11a/S11a_079.png?w=512,https://images.scrydex.com/pokemon/swsh11a_ja-79/medium,https://images.scrydex.com/pokemon/swsh12-182/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_9F8FFB7BF27D8094E176
BS2022016080,swsh11a_ja,PRD_0C8B6847314E495B9C8E,OK,칠색조 V,080,SR,POKEMON,BASIC,swsh11a_ja-80,swsh12-187,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S11a/S11a_080.png?w=512,https://images.scrydex.com/pokemon/swsh11a_ja-80/medium,https://images.scrydex.com/pokemon/swsh12-187/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_2BBC9C171E2800926C30
BS2021002075,swsh5r_ja,PRD_AD7B5C4F802F4D64BE90,RESOLVED_BY_SETNAME,네크로즈마 V,075,SR,POKEMON,BASIC,swsh5r_ja-75,swsh5-149,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S5/S5R_075.png?w=512,https://images.scrydex.com/pokemon/swsh5r_ja-75/medium,https://images.scrydex.com/pokemon/swsh5-149/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_2FA7E35871623C66AA96
BS2021004077,swsh6h_ja,PRD_83E04A9A71A74A88AB44,RESOLVED_BY_SETNAME,레파르다스 V,077,SR,POKEMON,BASIC,swsh6h_ja-77,swsh6-180,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S6/S6H_077.png?w=512,https://images.scrydex.com/pokemon/swsh6h_ja-77/medium,https://images.scrydex.com/pokemon/swsh6-180/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_7064C189CC039FA97194
BS2021011031,swsh7d_ja,PRD_BCB8045CC957488BB992,RESOLVED_BY_SETNAME,더스트나 VMAX,031,RRR,POKEMON,AUTO(scrydex),swsh7d_ja-31,swsh7-101,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S7/S7D_031.png?w=512,https://images.scrydex.com/pokemon/swsh7d_ja-31/medium,https://images.scrydex.com/pokemon/swsh7-101/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_E39F9C41D529A434B5EC
BS2021018015,swsh8_ja,PRD_3BEB5A9863D54FE7BE25,RESOLVED_BY_SETNAME,샹델라 VMAX,015,RRR,POKEMON,AUTO(scrydex),swsh8_ja-15,swsh8-40,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S8/S8_015.png?w=512,https://images.scrydex.com/pokemon/swsh8_ja-15/medium,https://images.scrydex.com/pokemon/swsh8-40/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_F739AC5CF7A0E66239D2
BS2020003065,swsh1h_ja,PRD_FC1A7B5927A44298A2A2,OK,자마젠타 V,065,SR,POKEMON,BASIC,swsh1h_ja-65,swsh1-196,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S1H/S1H_065.png?w=512,https://images.scrydex.com/pokemon/swsh1h_ja-65/medium,https://images.scrydex.com/pokemon/swsh1-196/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_9824FD6C4B38CAA57F42
BS2020012077,swsh3a_ja,PRD_FE54F67A9C114773A9CD,RESOLVED_BY_SETNAME,자루도 V,077,SR,POKEMON,BASIC,swsh3a_ja-77,swsh4-167,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S3a/S3a_077.png?w=512,https://images.scrydex.com/pokemon/swsh3a_ja-77/medium,https://images.scrydex.com/pokemon/swsh4-167/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_93787D42298C1FBC17F6
BS2020014107,swsh4_ja,PRD_32C23D5FA71F45ADB572,OK,드래피온 V,107,SR,POKEMON,BASIC,swsh4_ja-107,swsh4-175,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S4/S4_107.png?w=512,https://images.scrydex.com/pokemon/swsh4_ja-107/medium,https://images.scrydex.com/pokemon/swsh4-175/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_B4CBD2C89D74201BEAE7
