series,ko_set,ko_name,ko_rarity,ko_no,type,jp_ref,jp_status,code
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,님피아 ex,RR,069,1진화 포켓몬,,NEEDS_MATCH,BS2024019069
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,오거폰 주춧돌의 가면 ex,RR,091,기본 포켓몬,,NEEDS_MATCH,BS2024019091
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,블래키 ex,RR,093,1진화 포켓몬,,NEEDS_MATCH,BS2024019093
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,복숭악동 ex,RR,105,기본 포켓몬,sv8a_ja-105,CONFIRMED,BS2024019105
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,타부자고 ex,RR,117,1진화 포켓몬,,NEEDS_MATCH,BS2024019117
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,드래펄트 ex,RR,120,2진화 포켓몬,,NEEDS_MATCH,BS2024019120
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,날뛰는우레 ex,RR,124,기본 포켓몬 ex,,NEEDS_MATCH,BS2024019124
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,이브이 ex,RR,126,기본 포켓몬,,NEEDS_MATCH,BS2024019126
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,날뛰는우레 ex,SAR,222,기본 포켓몬 ex,sv8a_ja-222,CONFIRMED,BS2024019222
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,리자몽 V,RR,013,기본 포켓몬,swsh12a_ja-13,CONFIRMED,BS2023001013
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,바오키 V,RR,020,기본 포켓몬,swsh12a_ja-20,CONFIRMED,BS2023001020
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,러브로스 V,RR,068,기본 포켓몬,,NEEDS_MATCH,BS2023001068
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,히스이 대검귀 V,RR,086,기본 포켓몬,,NEEDS_MATCH,BS2023001086
swshp_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,레쿠쟈 V,RR,107,기본 포켓몬,swshp_ja-3,CONFIRMED,BS2023001107
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,아르세우스 V,RR,126,기본 포켓몬,,NEEDS_MATCH,BS2023001126
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,하랑우탄 V,RR,130,기본 포켓몬,swsh12a_ja-130,CONFIRMED,BS2023001130
swsh12a_ja,소드&실드 하이클래스팩 「VSTAR 유니버스」,히스이 대검귀 V,SAR,229,기본 포켓몬,swsh12a_ja-229,CONFIRMED,BS2023001229
sv1v_ja,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,떨구새,AR,089,기본 포켓몬,sv1v_ja-89,CONFIRMED,BS2023007089
sv1v_ja,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,페퍼,SR,100,서포트,,NEEDS_MATCH,BS2023007100
sv1v_ja,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,페퍼,SAR,105,서포트,,NEEDS_MATCH,BS2023007105
sv1a_ja,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,나오하,AR,075,기본 포켓몬,sv1a_ja-75,CONFIRMED,BS2023010075
sv2p_ja,스칼렛&바이올렛 확장팩 「스노해저드」,시비꼬 ex,RR,065,기본 포켓몬,,NEEDS_MATCH,BS2023011065
sv2p_ja,스칼렛&바이올렛 확장팩 「스노해저드」,시비꼬 ex,SR,089,기본 포켓몬,sv2p_ja-89,CONFIRMED,BS2023011089
sv2p_ja,스칼렛&바이올렛 확장팩 「스노해저드」,시비꼬 ex,SAR,094,기본 포켓몬,sv2p_ja-94,CONFIRMED,BS2023011094
sv2d_ja,스칼렛&바이올렛 확장팩 「클레이버스트」,태깅구르,AR,080,1진화 포켓몬,sv2d_ja-80,CONFIRMED,BS2023012080
sv3_ja,스칼렛&바이올렛 확장팩 「흑염의 지배자」,부르르룸 ex,RR,085,1진화 포켓몬,,NEEDS_MATCH,BS2023015085
sv3_ja,스칼렛&바이올렛 확장팩 「흑염의 지배자」,부르르룸 ex,SR,127,1진화 포켓몬,sv3_ja-127,CONFIRMED,BS2023015127
