card_id,name,official_card_code,product_id,collection_number,rarity_code,language,super_type,jp_scrydex_ref,en_scrydex_ref
CRD_53811FEF046C46BC8D3A,레지아이스 ex,BS2026001192,PRD_6F0F228947EF48919808,192/742,RR,KO,POKEMON,NO_JP,me2pt5-48
CRD_9813FECD47C44526AC0E,찬란한 거북왕,BS2022010018,PRD_FEBA8CBAF36B40D9850F,018/071,K,KO,POKEMON,swsh10b_ja-18,pgo-18
CRD_53864D1A7E104131B58A,자시안 V,BS2020002046,PRD_7CCB63858C7E43A287F2,046/060,RR,KO,POKEMON,swsh1w_ja-46,swsh1-138
CRD_BC53EA80A3024F12B207,도치마론,,PRD_156BB71C4F5A41C39521,084/083,AR,KO,POKEMON,m4_ja-84,NO_EN
CRD_539D580996A8493CA8A2,캥카 ex,BS2023014115,PRD_DAB43E31433041FC942F,115/165,RR,KO,POKEMON,sv2a_ja-115,sv3pt5-115
CRD_54066807917542B79D0E,플라이곤,BS2025014088,PRD_DD94FB8DCB7C4A129478,088/080,AR,KO,POKEMON,m2_ja-88,me2-101
CRD_53C3C8439568425FBA77,루가루암 GX,BS2019002061,PRD_F0B2C76547E5479F8E65,061/150,RR,KO,POKEMON,sm8b_ja-61,sm9-82
CRD_54B1B0CAD05346959E1C,기선,BS2022017119,PRD_75DAB61BCF5342C38563,119/098,HR,KO,TRAINER,swsh12_ja-120,swsh12-203
CRD_5468B5F7E7644C059874,석탄산 VMAX,,PRD_0A7EE93DE4014CF7A4B6,087/076,HR,KO,POKEMON,swsh3a_ja-87,swsh4-189
CRD_54862537AC0B4A368C5A,제라오라 V,BS2021005074,PRD_EACC12D2E1D547E3ACE6,074/070,SR,KO,POKEMON,swsh6k_ja-74,swsh6-166
CRD_53E1012862E24CE386A1,메가지가르데 ex,BS2026002046,PRD_B269D7FE35F74921BDB2,046/080,RR,KO,POKEMON,m3_ja-46,me3-47
CRD_54E3A91B69264976B1D1,메타몽,BS2023001197,PRD_B4F8E0D2E2414F1DBC9B,197/172,AR,KO,POKEMON,swsh12a_ja-197,swsh12pt5gg-GG22
CRD_5428C6299F5640EBA326,찬란한 개굴닌자,BS2022004044,PRD_B6A92B9A3823440F8F49,026/067,K,KO,POKEMON,swsh9a_ja-26,swsh10-46
CRD_53BC7943DA1C4E528F42,부르르룸 ex,BS2024011015,PRD_7293190A22224C0598D5,015/064,RR,KO,POKEMON,sv6a_ja-15,sv6pt5-15
CRD_5403B77391C44B59BBF1,관광객,BS2019017189,PRD_C50AF6B22D9843F5B112,189/173,SR,KO,TRAINER,sm12a_ja-192,NO_EN
CRD_549320962C484F599EC6,카푸나비나 GX,BS2019002044,PRD_F0B2C76547E5479F8E65,044/150,RR,KO,TRAINER,sm8b_ja-44,sm2-60
CRD_5495412158834F0487D3,로켓단의 니드킹 ex,BS2025006116,PRD_FA31487748A24EAF9EE3,116/098,SR,KO,POKEMON,sv10_ja-116,sv10-216
CRD_54A4959E13F64F7AB630,해루미,BS2024008102,PRD_980F0BFCCDBB47558BFA,102/101,AR,KO,POKEMON,sv6_ja-102,sv6-169
CRD_54D2FB20FB064C93818F,몰드류 ex,BS2026001387,PRD_6F0F228947EF48919808,387/742,RR,KO,POKEMON,sv11b_ja-49,zsv10pt5-46
CRD_54EB8FDFE84741599C5A,딱구리 ex,BS2023014191,PRD_DAB43E31433041FC942F,191/165,SR,KO,POKEMON,sv2a_ja-191,sv3pt5-189
CRD_55135DAC7D1B4FF1AB6D,드래피 VSTAR,BS2022014067,PRD_D85C098E2C3449848167,067/100,RRR,KO,POKEMON,swsh11_ja-67,swsh11-119
CRD_5545BE5E05C5475FA8C2,플라이곤 V,BS2022002110,PRD_FA60964DC9AC4C999AC2,110/100,SR,KO,POKEMON,swsh9_ja-110,swsh9-164
CRD_7BB12D81EF244F06890A,푸호꼬,,PRD_156BB71C4F5A41C39521,085/083,AR,KO,POKEMON,m4_ja-85,NO_EN
CRD_57278A1C3B6140809E3F,게을로,BS2024017117,PRD_0CC50B878F5F40BAA824,117/106,AR,KO,POKEMON,sv8_ja-117,sv8-212
