code,ko_name,jp_ref,en_ref,ko_url,jp_url,en_url,ko_status,jp_status,en_status,ko_ct,jp_ct,en_ct,ko_size,jp_size,en_size,ko_dim,jp_dim,en_dim,ko_decode,jp_decode,en_decode,ko_jp,ko_en,jp_en,crosslang,result
BS2024001337,시비꼬 ex,sv4a_ja-337,sv4pt5-223,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4a/SV4a_337.png?w=512,https://images.scrydex.com/pokemon/sv4a_ja-337/medium,https://images.scrydex.com/pokemon/sv4pt5-223/medium,200,200,200,image/png,image/png,image/png,772928,132570,76603,512x714,365x512,367x512,OK,OK,OK,0.883,0.851,0.941,OK,PASS
BS2024004082,치라미,sv5k_ja-82,sv5-182,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_082.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-82/medium,https://images.scrydex.com/pokemon/sv5-182/medium,200,200,200,image/png,image/png,image/png,852552,131064,127068,512x714,365x512,367x512,OK,OK,OK,0.872,0.839,0.916,OK,PASS
BS2024004083,치라치노,sv5k_ja-83,sv5-183,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_083.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-83/medium,https://images.scrydex.com/pokemon/sv5-183/medium,200,200,200,image/png,image/png,image/png,791400,129116,126606,512x714,365x512,367x512,OK,OK,OK,0.968,0.965,0.969,OK,PASS
BS2024004089,날뛰는우레 ex,sv5k_ja-89,sv5-196,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_089.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-89/medium,https://images.scrydex.com/pokemon/sv5-196/medium,200,200,200,image/png,image/png,image/png,774683,126232,103728,512x714,365x512,367x512,OK,OK,OK,0.849,0.862,0.885,OK,PASS
BS2024004095,날뛰는우레 ex,sv5k_ja-95,sv5-208,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_095.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-95/medium,https://images.scrydex.com/pokemon/sv5-208/medium,200,200,200,image/png,image/png,image/png,845148,138807,119705,512x714,365x512,367x512,OK,OK,OK,0.908,0.911,0.938,OK,PASS
BS2024004100,날뛰는우레 ex,sv5k_ja-100,sv5-218,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_100.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-100/medium,https://images.scrydex.com/pokemon/sv5-218/medium,200,200,200,image/png,image/png,image/png,807151,152018,111472,512x714,365x512,367x512,OK,OK,OK,0.797,0.769,0.868,BORDERLINE,PASS
BS2024007076,대코파스,sv5a_ja-76,sv6-182,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5a/SV5a_076.png?w=512,https://images.scrydex.com/pokemon/sv5a_ja-76/medium,https://images.scrydex.com/pokemon/sv6-182/medium,200,200,200,image/png,image/png,image/png,638861,115987,107183,512x714,365x512,367x512,OK,OK,OK,0.975,0.965,0.972,OK,PASS
BS2024008113,럭키,sv6_ja-113,sv6-187,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_113.png?w=512,https://images.scrydex.com/pokemon/sv6_ja-113/medium,https://images.scrydex.com/pokemon/sv6-187/medium,200,200,200,image/png,image/png,image/png,506013,94898,72044,512x714,365x512,367x512,OK,OK,OK,0.981,0.971,0.964,OK,PASS
BS2024011076,이븐곰,sv6a_ja-76,sv6pt5-79,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6a/SV6a_076.png?w=512,https://images.scrydex.com/pokemon/sv6a_ja-76/medium,https://images.scrydex.com/pokemon/sv6pt5-79/medium,200,200,200,image/png,image/png,image/png,489382,260708,86799,512x714,318x452,367x512,OK,OK,OK,0.932,0.958,0.94,OK,PASS
BS2024016081,알로라 나시 ex,sv7a_ja-81,sv8-225,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7a/SV7a_081.png?w=512,https://images.scrydex.com/pokemon/sv7a_ja-81/medium,https://images.scrydex.com/pokemon/sv8-225/medium,200,200,200,image/png,image/png,image/png,852320,140443,107546,512x714,362x512,367x512,OK,OK,OK,0.921,0.928,0.91,OK,PASS
