product_id,name,series_name,language
PRD_785C760E090B47DF9D59,스칼렛&바이올렛 스타터 세트 ex 「꾸왁스&따라큐 ex」,"",KO
PRD_6F6AB9B253E243948DB9,소드&실드 스페셜 덱 세트 「리자몽 VSTAR VS 레쿠쟈 VMAX」,"",KO
PRD_75DAB61BCF5342C38563,소드 & 실드 확장팩 「패러다임트리거」,소드 & 실드,KO
PRD_DEEA8F094F434E168C50,포켓몬 카드 게임 Let's Play,"",KO
PRD_265745669ACE4B21B30F,소드&실드 「미스터리 박스」,"",KO
PRD_95BDE9A93F1B4316A078,전설의 포켓몬을 찾자! 루기아GET챌린지 프로모 카드 팩,"",KO
PRD_0252BA4B7C954AB9A75B,프레셔스 컬렉터 박스,"",KO
PRD_5291FE6DDD574296818C,루카리오 HR 쟁탈전 토너먼트 우승,"",KO
PRD_EAC9CA1C3AA642D99665,루카리오 HR 쟁탈전 조 리그 1위,"",KO
PRD_64AF1ABD4884491ABCC3,소드&실드 프로모팩 제11탄,"",KO
PRD_5493A557CD7D4E74BA80,소드&실드 프로모팩 제10탄,"",KO
PRD_0C8B6847314E495B9C8E,소드&실드 강화 확장팩 「백열의 아르카나」,소드&실드,KO
PRD_ECFFE220EFE34577926D,소드&실드「VSTAR 스페셜 세트」,"",KO
PRD_A6334E5CEE894AC1AD9A,포켓몬 팝업스토어 in 현대백화점 판교점 증정,"",KO
PRD_554AB5D7D5A440D0AA2A,소드&실드 강화 확장팩 「다크판타스마」,소드&실드,KO
PRD_9FE66CB9CBD347C69D04,소드&실드 VSTAR&VMAX 하이클래스 덱 「테오키스」,"",KO
PRD_81E4799E3B544024855A,소드&실드 VSTAR&VMAX 하이클래스 덱 「제라오라」,"",KO
PRD_FEBA8CBAF36B40D9850F,소드&실드 강화 확장팩 「Pokémon GO」,소드&실드,KO
PRD_E1AE61F6929544CF805B,소드&실드 프로모팩 제9탄,"",KO
PRD_503C292F964649FB9A8B,소드&실드 스페셜 카드 세트 「풀의 리피아 VSTAR」,"",KO
PRD_DAC03D4752E44348B1B8,포켓몬 GO 프로모 카드 기프트 캠페인,"",KO
PRD_ECF8A0A4DE8F4FFD92E8,소드&실드 스페셜 카드 세트 「얼음의 글레이시아 VSTAR」,"",KO
PRD_993A72CF79154ABD8E97,소드&실드 「Pokémon GO 카드 앨범 세트」,"",KO
PRD_E53ECE4F4197470B8B8C,「Pokémon GO 스페셜 점보카드세트」,"",KO
PRD_64A0F02B4C6142D59E34,극장판 포켓몬스터DP 「기라티나와 하늘의 꽃다발 쉐이미」극장 선물,"",KO
PRD_5B48329CB1F945D89368,소드 & 실드 「스타트 덱 100 피카츄 V & 이브이 V 」,"",KO
PRD_47993D05734642238309,켈로그 첵스초코 기획팩 구입특전,"",KO
PRD_7DF9CF9792C3451BBA08,소드&실드 확장팩 「스페이스 저글러」,소드&실드,KO
PRD_A34AF524E977421D94D7,소드&실드 확장팩 「타임게이저」,소드&실드,KO
PRD_0B599EC823EF416688FB,소드 & 실드 스타터 세트 VSTAR 「다크라이」,"",KO
PRD_11F5D6628FC34B098AD0,소드 & 실드 스타터 세트 VSTAR 「루카리오」,"",KO
PRD_B6A92B9A3823440F8F49,소드&실드 강화 확장팩 「배틀리전」,소드&실드,KO
PRD_B2ACFB7F8D3D424D8D60,소드&실드 「스타트 덱 100」,"",KO
PRD_C83799FBE9D346E8A4FC,소드&실드 프로모팩 제8탄,"",KO
PRD_026F33922E3D46A8B95B,소드&실드 프로모팩 제7탄,"",KO
PRD_FA60964DC9AC4C999AC2,소드&실드 확장팩 「스타버스」,소드&실드,KO
PRD_A9D9A46C54C84ED7B89F,소드&실드 스페셜 덱 세트 「자시안·자마젠타 VS 무한다이노」,"",KO
PRD_AA8F21046C534A81B838,소드&실드 프로모팩 제6탄,"",KO
PRD_E6BB8371C36F46B089B9,소드&실드 프로모팩 제5탄,"",KO
