code,ko_name,rarity,ko_no,ko_set,jp_ref,series,match_cid,match_name,s1,s2,margin,nm_match,rar_match
BS2024008121,해피너스 ex,SR,121,스칼렛&바이올렛 확장팩 「변환의 가면」,sv6_ja-121,sv6_ja,CRD_40EA643721414CC5B8E1,해피너스 V,0.794,0,0.794,False,True
BS2024011038,기로치 ex,RR,038,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,,,CRD_15FD761C7E9D47358044,기로치 ex,0.989,0.953,0.036,True,True
BS2024012054,요가램 ex,RR,054,스칼렛&바이올렛 확장팩 「스텔라미라클」,,,CRD_E71149545CE345E28C39,요가램 ex,0.902,0,0.902,True,True
BS2024012088,테라파고스 ex,RR,088,스칼렛&바이올렛 확장팩 「스텔라미라클」,,,CRD_D7065DC67F244D799293,테라파고스 ex,0.991,0.976,0.016,True,True
BS2024016019,라티아스 ex,RR,019,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,,,CRD_614DE1758C59451FBC92,라티아스 ex,0.99,0.956,0.035,True,True
BS2024016037,브리두라스 ex,RR,037,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,,,CRD_DAA35F1AF62C4F308C37,브리두라스 ex,0.983,0.973,0.01,True,True
BS2024017026,밀로틱 ex,RR,026,스칼렛&바이올렛 확장팩 「초전브레이커」,,,CRD_3610EE3BBB834DF6A0BF,밀로틱 ex,0.918,0,0.918,True,True
BS2024019010,과미드라 ex,RR,010,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,,CRD_F9B21FCBE1B640D5ACF7,과미드라 ex,0.96,0.914,0.046,True,True
BS2024019026,오거폰 화덕의 가면 ex,RR,026,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,,CRD_F55908E6632F40A5BE9A,오거폰 화덕의 가면 ex,0.974,0.961,0.013,True,True
BS2024019050,오거폰 우물의 가면 ex,RR,050,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,,CRD_C5AAC2405EE34F249A43,오거폰 우물의 가면 ex,0.952,0.939,0.012,True,True
BS2024019052,쥬피썬더 ex,RR,052,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,,CRD_3C56BFC81EEB4EE89BB1,피카츄 ex,0.756,0.745,0.011,False,True
BS2024019091,오거폰 주춧돌의 가면 ex,RR,091,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,,CRD_820C8A1490C243AF8876,오거폰 주춧돌의 가면 ex,0.984,0.94,0.044,True,True
BS2024019120,드래펄트 ex,RR,120,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,,CRD_9C111FFCAB0E4282A578,드래펄트 ex,0.973,0.937,0.036,True,True
BS2022001100,블래키 V,RR,100,소드&실드 하이클래스팩 「VMAX 클라이맥스」,,,CRD_093F671F8D0F4F349B81,블래키 V,0.999,0.956,0.043,True,True
BS2022001115,아머까오 V,RR,115,소드&실드 하이클래스팩 「VMAX 클라이맥스」,,,CRD_2301905FC60B4E48B82C,아머까오 V,0.999,0.985,0.014,True,True
BS2022001127,해피너스 V,RR,127,소드&실드 하이클래스팩 「VMAX 클라이맥스」,,,CRD_3DB07E020BC24EA1AB3B,해피너스 V,0.986,0.983,0.003,True,True
BS2022007071,지라치 V,SR,071,소드&실드 확장팩 「타임게이저」,swsh10d_ja-71,swsh10d_ja,CRD_5EE6DC9AFBE242028F0F,지라치 EX,0.802,0,0.802,False,True
BS2021001027,따라큐 V,RR,027,소드&실드 확장팩 「일격마스터」,,,CRD_C3AC7D22528745FE8E4B,따라큐 V,0.999,0.971,0.028,True,True
BS2021001036,일격 우라오스 V,RR,036,소드&실드 확장팩 「일격마스터」,,,CRD_893BF8C4050E44B6ACFA,일격 우라오스 V,0.992,0.951,0.041,True,True
BS2021002004,귀뚤톡크 V,RR,004,소드&실드 확장팩 「연격마스터」,,,CRD_D86A3315CB974B96A9E6,귀뚤톡크 V,0.969,0.954,0.015,True,True
BS2021002036,네크로즈마 V,RR,036,소드&실드 확장팩 「연격마스터」,,,CRD_696441FFCEB046F28C92,네크로즈마 GX,0.755,0.71,0.045,False,False
BS2021002050,연격 우라오스 V,RR,050,소드&실드 확장팩 「연격마스터」,,,CRD_C3BE18AFFD494670BA91,연격 우라오스 V,0.999,0.977,0.022,True,True
BS2021003025,가라르 프리져 V,RR,025,소드&실드 강화 확장팩 「쌍벽의 파이터」,,,CRD_08E2001528D84351A367,가라르 프리져 V,0.98,0.949,0.031,True,True
BS2021003045,가라르 파이어 V,RR,045,소드&실드 강화 확장팩 「쌍벽의 파이터」,,,CRD_85A18C735C9147958902,가라르 파이어 V,0.998,0.991,0.006,True,True
BS2021004027,백마 버드렉스 V,RR,027,소드&실드 확장팩 「백은의 랜스」,,,CRD_4CF6CEF79B8D4088917C,백마 버드렉스 V,0.995,0.962,0.033,True,True
BS2021007002,리피아 V,RR,002,소드&실드 강화 확장팩 「이브이 히어로즈」,,,CRD_D314F766A59B4473933E,리피아 V,0.991,0.972,0.019,True,True
BS2021011048,두랄루돈 V,RR,048,소드&실드 확장팩 「마천퍼펙트」,swsh7d_ja-49,swsh7d_ja,CRD_2BCC60756DD640D68C16,두랄루돈 V,0.999,0.982,0.017,True,True
BS2021011049,두랄루돈 VMAX,RRR,049,소드&실드 확장팩 「마천퍼펙트」,swsh7d_ja-49,swsh7d_ja,CRD_1A87BECFAC1647F98FBC,두랄루돈 VMAX,0.789,0,0.789,True,False
BS2020011064,무한다이노 V,RR,064,소드&실드 확장팩 「무한존」,,,CRD_DB4376253193405389B0,무한다이노 V,1.0,1.0,0.0,True,True
BS2020011107,핫삼 V,SR,107,소드&실드 확장팩 「무한존」,swsh3_ja-107,swsh3_ja,CRD_F878464C76304FFF8660,핫삼 ex,0.762,0,0.762,False,True
BS2020016323,메타몽 V,SSR,323,소드&실드 하이클래스팩 「샤이니스타 V」,swsh4a_ja-323,swsh4a_ja,CRD_3EC2D5FC5CD94A18B44E,메타몽 VMAX,0.836,0,0.836,True,True
