card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_251F9092AFDE47718BB3,로켓단의 아테나,SR,122/098,568899,4502,51299,20642,0.088,0.218,2.485,11.39,4.59,A_3M,11400,1,0.395,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,
CRD_2521A01014064B6586BA,앤테이 EX,SR,070/069,91627,46094,1245601,373815,0.037,0.123,3.332,27.02,8.11,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_25251C19A57081F5E42B,,,,,1828,19994,,0.091,,,10.94,,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_2531910728D94C05A9E9,팔자크,SR,124/101,256074,1629,62841,7645,0.026,0.213,8.22,38.58,4.69,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_254CCBD76DFA46BDB30B,스이쿤 V,RR,024/172,,891,66023,13104,0.013,0.068,5.038,74.1,14.71,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_2570702FE3854423A069,무쇠바퀴 ex,RR,132/190,156442,353,29449,3058,0.012,0.115,9.63,83.42,8.66,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_25A76CC236D74FF2B49A,웨이니발 ex,SAR,098/073,116083,32343,58034,24441,0.557,1.323,2.374,1.79,0.76,A_1M,42418,5,0.762,RAW_OVER_PSA9,REPLACE_WITH_SNK_A,,KEEP,
CRD_25B8055B794A45B99714,메가아쿠스타 ex,RR,021/080,752402,768,45930,,0.017,,,59.8,,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_25B97585CC304F538181,잉어킹&고래왕 GX,SR,099/095,91292,537753,3022999,1070345,0.178,0.502,2.824,5.62,1.99,A_3M,1420250,2,0.379,SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,
CRD_262F67E35B964E6B9C67,야도킹 ex,SR,086/071,120834,5178,72924,,0.071,,,14.08,,A_3M,12796,2,0.405,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,
CRD_2685F2D324BF4D0495CF,대여르 V,SSR,319/190,144780,2858,43765,18272,0.065,0.156,2.395,15.31,6.39,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_26AE57743E2F41B084F2,차곡차곡 GX,RR,088/150,112762,2858,22906,16019,0.125,0.178,1.43,8.01,5.6,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
