our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,source_set,notes
CRD_9D7643B219DF4580B85F,청목의 찌르호크,NO_JP,,756/742,AR,cards/CRD_9D7643B219DF4580B85F_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_9D7E49141F244802BAB2,렌트라 ex,sv6_ja-41,SV6,246/742,RR,cards/CRD_9D7E49141F244802BAB2_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6,
CRD_9DA43870585949379283,리자몽 EX,cp6_ja-90,CP6,103/100,SR,cards/CRD_9DA43870585949379283_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,CP6,
CRD_9DC636DE48A4462F93A8,오거폰 우물의 가면 ex,sv6_ja-117,SV6,117/101,SR,cards/CRD_9DC636DE48A4462F93A8_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6,
CRD_9DE6CF5F7FF3427298C7,레트라,m3_ja-92,M3,092/080,AR,cards/CRD_9DE6CF5F7FF3427298C7_jp.png,753260,https://snkrdunk.com/apparels/753260,ラッタ AR [M3 092/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-092,https://cdn.snkrdunk.com/upload_bg_removed/20260122103412-0.webp,snk_images/753260.png,CRD_9DE6CF5F7FF3427298C7,CRD_9DE6CF5F7FF3427298C7,레트라,0.8935,"[{""cardId"": ""CRD_9DE6CF5F7FF3427298C7"", ""name"": ""레트라"", ""rarity"": ""AR"", ""ref"": ""m3_ja-92"", ""score"": 0.8935}]",HIGH_CONFIDENCE,HIGH,M3,
CRD_9DEBB30C1A894A7198FA,코라이돈 ex,NO_JP,,551/742,RR,cards/CRD_9DEBB30C1A894A7198FA_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_9DFAA769E1B744799783,파치래곤,swsh4a_ja-244,SWSH4A,244/190,S,cards/CRD_9DFAA769E1B744799783_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_9E348E7E435B4E658CB9,라티오스,sv7a_ja-70,SV7A,070/064,AR,cards/CRD_9E348E7E435B4E658CB9_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV7A,
CRD_9E3FF9A0219649098877,팔데아 켄타로스,sv4a_ja-223,SV4A,223/190,S,cards/CRD_9E3FF9A0219649098877_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_9E40D9EE7D9844C4868B,레지드래고 V,swsh12_ja-76,SWSH12,076/098,RR,cards/CRD_9E40D9EE7D9844C4868B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH12,
CRD_9E509ECA5F2F4685A780,M강철톤 EX,xy11f_ja-33,XY11F,033/054,RR,cards/CRD_9E509ECA5F2F4685A780_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY11F,
CRD_9E6C0EE28A034B84B8A7,흑마 버드렉스 V,NO_JP,,002/006,RR,cards/CRD_9E6C0EE28A034B84B8A7_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_9E959C4AF6BA480FA670,마기아나 EX,xy11c_ja-55,XY11C,055/054,SR,cards/CRD_9E959C4AF6BA480FA670_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY11C,
CRD_9EB9A88BDE8245A99331,마기라스 EX,xy7_ja-42,XY7,042/081,RR,cards/CRD_9EB9A88BDE8245A99331_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY7,
CRD_9EC2FDEB07C043AC8403,브리가론 BREAK,xy8r_ja-6,XY8R,015/131,RR,cards/CRD_9EC2FDEB07C043AC8403_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY8R,
CRD_9EC31C68BA49485F819E,던지미,sv11b_ja-134,SV11B,134/086,AR,cards/CRD_9EC31C68BA49485F819E_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11B,
CRD_9F16F13DF68C4204B8EF,메가라티아스 ex,m1s_ja-49,M1S,049/063,RR,cards/CRD_9F16F13DF68C4204B8EF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M1S,
CRD_9F22D144C3944837A628,흉내내,sv4a_ja-262,SV4A,262/190,S,cards/CRD_9F22D144C3944837A628_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_9F31701D86B049C6865C,마피티프,sv4a_ja-296,SV4A,296/190,S,cards/CRD_9F31701D86B049C6865C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_9F3F0D7B0CFA40C49558,개구마르,sm8b_ja-171,SM8B,171/150,S,cards/CRD_9F3F0D7B0CFA40C49558_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_9F67BA0A6712493A867F,자포코일 ex,sv1v_ja-93,SV1V,093/078,SR,cards/CRD_9F67BA0A6712493A867F_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV1V,
CRD_9F777E2B3AF448D78288,드래피온 VSTAR,swsh11_ja-119,SWSH11,119/100,HR,cards/CRD_9F777E2B3AF448D78288_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH11,
CRD_9F78C4AD792F4C16A076,아이앤트 ex,sv8_ja-119,SV8,119/106,SR,cards/CRD_9F78C4AD792F4C16A076_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV8,
