our_card_id,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,rematch_rank,rematch_score,snk_set,snk_number,snk_rarity,set_number_check,rarity_check,name_check
CRD_3F2D5876782D4E44B4B3,고래왕 V,NO_JP,RR,401311,pkmn-tcg-SMH-028,ホエルオー [SMH 028/131](サン&ムーン「GXスタートデッキ」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7325163-yu.webp,4,1,SMH,028/131,,DIFF,DIFF,NO_MAP
CRD_3F2D5876782D4E44B4B3,고래왕 V,NO_JP,RR,740355,pkmn-tcg-MC-181,ホエルオー [MC 181/742](スタートデッキ100「バトルコレクション」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-48897-of.webp,5,1,MC,181/742,,DIFF,DIFF,NO_MAP
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,141151,pkmn-tcg-S8b-122,ジュラルドンV RR[s8b 122/184](ハイクラスパック「VMAXクライマックス」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S8b-1710.webp,1,4,s8b,122/184,RR,DIFF,OK,OK
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,141503,pkmn-tcg-S7D-048,ジュラルドンV RR[s7D 048/067](拡張パック「摩天パーフェクト」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S7D-1024.webp,2,4,s7D,048/067,RR,DIFF,OK,OK
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,141527,pkmn-tcg-S7D-075,ジュラルドンV SR[s7D 075/067](拡張パック「摩天パーフェクト」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S7D-1051.webp,3,3,s7D,075/067,SR,DIFF,DIFF,OK
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,380463,pkmn-tcg-SI-325,ジュラルドンV [SI 325/414](ソード＆シールド「スタートデッキ100」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7332616-yu.webp,4,3,SI,325/414,,DIFF,DIFF,OK
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,487485,pkmn-tcg-S7D-075,ジュラルドンV UR [197/203]【英語版】(ソード&シールド「エボルビングスカイズ」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-SS-ES-197-ot.webp,5,3,,,UR,DIFF,DIFF,OK
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,487486,pkmn-tcg-87,ジュラルドンV UR [198/203]【英語版】(ソード&シールド「エボルビングスカイズ」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-SS-ES-198-ot.webp,6,3,,,UR,DIFF,DIFF,OK
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,487508,pkmn-tcg-85,ジュラルドンVMAX RR [220/203]【英語版】(ソード&シールド「エボルビングスカイズ」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-SS-ES-220-ot.webp,7,2,,,RR,DIFF,OK,DIFF
CRD_FF89828CCBB14368BDA7,두랄루돈 V,NO_JP,RR,487507,pkmn-tcg-S7D-082,ジュラルドンVMAX RR [219/203]【英語版】(ソード&シールド「エボルビングスカイズ」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-SS-ES-219-ot.webp,8,2,,,RR,DIFF,OK,DIFF
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,105393,pkmn-tcg-2004,グレイシアGX HR[SM5M 073/066](拡張パック「ウルトラムーン」),https://cdn.snkrdunk.com/upload_bg_removed/20240731061930-0.webp,1,3,SM5M,073/066,HR,DIFF,DIFF,OK
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,105395,pkmn-tcg-2004,グレイシアGX SR[SM5M 067/066](拡張パック「ウルトラムーン」),https://cdn.snkrdunk.com/upload_bg_removed/20240731061824-0.webp,2,3,SM5M,067/066,SR,DIFF,DIFF,OK
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,112747,pkmn-tcg-SM8b-027,グレイシアGX RR[SM8b 027/150](ハイクラスパック「GXウルトラシャイニー」),https://cdn.snkrdunk.com/upload_bg_removed/20230209072554-0.webp,3,3,SM8b,027/150,RR,DIFF,DIFF,OK
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,112782,pkmn-tcg-SM8b-215,グレイシアGX SSR[SM8b 215/150](ハイクラスパック「GXウルトラシャイニー」),https://cdn.snkrdunk.com/upload_bg_removed/20230209081457-0.webp,4,3,SM8b,215/150,SSR,DIFF,DIFF,OK
