card_id,card_name,snkrdunk_apparel_id,usedMinPrice,usedListingCount,A1m_n,A1m_med,A1m_latest,A3m_n,A3m_med,A3m_latest,PSA10_1m_n,PSA10_1m_med,PSA10_3m_n,PSA10_3m_med,PSA9_1m_n,PSA9_1m_med,PSA9_3m_n,PSA9_3m_med,data_quality
CRD_83BEEB1396274C9BAB37,브라이어,323631,2480,10,0,0,0,0,0,0,2,8850,5,8779,0,0,0,0,PSA_ONLY
CRD_FE046994C7284B68A4F7,요가랑,325988,1800,6,0,0,0,0,0,0,7,6500,12,6600,0,0,0,0,PSA_ONLY
CRD_C4F41E3DBC5E4BAC88EA,곤포,326016,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_D2BCEBD902BB4EB7B230,과미드라 ex,326010,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_AF944BBA321248A08EBC,브리두라스,325684,1000,7,0,0,0,0,0,0,1,7000,6,6500,0,0,0,0,PSA_ONLY
CRD_B390ACDDA0BC45F28118,바우첼 ex,326013,1300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_763739C433694BD7A95F,다탱구 GX,334334,4200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_F84F74A865C24A938AB5,파비코리 GX,334387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_22DCDC22E2E84027B7A3,보스로라 EX,381589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_B87B09A888294C1C873C,네크로즈마 GX,334723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_C1E6E62B68CA49EBA053,비리디온 GX,334762,7000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_9649B9AE6A834C63AA80,알로라딱구리 GX,334520,3500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_874BB3258CA94959BBC0,갸라도스 GX,334876,4000,11,1,8000,8000,2,6250,8000,0,0,3,24990,0,0,0,0,A_1M_OK
CRD_8ED47CA7E8F5408B9A04,텅비드 GX,334890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_AE2BFD3AB7764907BA33,악식킹 GX,334901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_CF1795DF299B46889CA1,음번 GX,335022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_F35563D1D34443BD8590,심보러 GX,335599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_F4F401D1179242EE80AA,핸섬,338364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_9A188600F1B44EF88834,대굴레오,413848,1600,8,0,0,0,0,0,0,7,7980,17,8000,0,0,2,2249,PSA_ONLY
CRD_73F42BA51E1C4FD4A7B7,불카모스 GX,339598,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_798B992F69334701BDF2,단단지 GX,335080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
