snkrdunk_product_number,set_norm,number,rarity,snkrdunk_title,used_listing_count,snkrdunk_apparel_id,snkrdunk_image_url,falsematch_our_card_id,falsematch_our_name,falsematch_score,action
pkmn-tcg-BW-P-0078-235,BWP0078,235,,イーブイ P (開封済) [BW-P 235](プロモーションカード「セブンイレブン ポケモンスタンプラリー2013」),56,415567,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314511-yu.webp,CRD_E4269732BF5E4DAE84E6,부스터 EX,0.6346,ADD_CANDIDATE
pkmn-tcg-S-P-121,SP,121,,ピカチュウV P [S-P 121](ソード＆シールド「プロモーションカード」),54,727720,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-121-S-P-ot.webp,CRD_7F6CC76C333E432E9B6A,피카츄 V,0.7088,ADD_CANDIDATE
pkmn-tcg-S8a-P-009,S8AP,9,,ピィ P [S8a-P 009/025](プロモカードパック 25th ANNIVERSARY edition),54,185276,https://cdn.snkrdunk.com/upload_bg_removed/20240122053705-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-019,S8AP,19,,ドンファン: プロモ [S8a-P 019](プロモカードパック 25th ANNIVERSARY edition),54,286968,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-019.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-401,SMP,401,,アローラの仲間たち: プロモ[SM-P 401](プロモーションカード「SM-P」),53,93046,https://cdn.snkrdunk.com/upload_bg_removed/20230629020006-0.webp,CRD_E22C2110EB8743EFA3E1,팔데아의 학생,0.7186,ADD_CANDIDATE
pkmn-tcg-SV-P-066,SVP,66,,エーフィ: プロモ [SV-P 066](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),52,122058,https://cdn.snkrdunk.com/upload_bg_removed/20240229032259-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-270,SVP,270,,ロケット団のサカキ P [SV-P 270](プロモーションカード「ポケモンカードゲーム×BOSS 割るだけクラフトボスカフェ2本パック付属」),50,553313,https://cdn.snkrdunk.com/upload_bg_removed/20250327014149-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-070,SVP,70,,ニンフィア: プロモ [SV-P 070](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),47,122062,https://cdn.snkrdunk.com/upload_bg_removed/20230523021629-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-237,SMP,237,,ルギア P [SM-P 237](GXスタートデッキ「Wルギアキャンペーン」),47,407397,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7325745-yu.webp,,,,ADD_CANDIDATE
pkmn-tcg-cn-SV-P-057,CNSVP,57,,ピカチュウ P [SV-P 057]【中国語版】(プロモーションカード「台北オープン記念」),45,520383,https://cdn.snkrdunk.com/upload_bg_removed/20250210031440-0.webp,CRD_B30DFCBCDFBA21BE1C07,피카츄,0.6261,ADD_CANDIDATE
pkmn-tcg-SV-P-259,SVP,259,,ロケット団のニャース P [SV-P 259](プロモーションカード「コロコロイチバン2025年7・8月号 付録」),44,573267,https://cdn.snkrdunk.com/upload_bg_removed/20250521040304-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-292,SP,292,,カイリューV P [S-P 292](プロモーションカード「S-P」),44,653126,https://cdn.snkrdunk.com/upload_bg_removed/20250717101239-0.webp,CRD_F42BA8F04DBE4AD9A8D0,망나뇽 V,0.6541,ADD_CANDIDATE
pkmn-tcg-S10b-P-290,S10BP,290,,ゼニガメ P [S-P 290](プロモーションカード「ポケモン GO ギフトキャンペーン」),44,666716,https://cdn.snkrdunk.com/upload_bg_removed/20250804025027-3.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-062,SVP,62,,イーブイ: プロモ [SV-P 062](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),43,122054,https://cdn.snkrdunk.com/upload_bg_removed/20230522100840-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-068,SVP,68,,リーフィア: プロモ [SV-P 068](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),43,122060,https://cdn.snkrdunk.com/upload_bg_removed/20230523021416-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-025,S8AP,25,,カプ・テテフGX: プロモ [S8a-P 025](プロモカードパック 25th ANNIVERSARY edition),43,286970,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-025.webp,CRD_CC3B5E1F932A4EE9B2E9,카푸나비나 GX,0.8196,ADD_CANDIDATE
pkmn-tcg-SV-P-065,SVP,65,,ブースター: プロモ [SV-P 065](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),42,122057,https://cdn.snkrdunk.com/upload_bg_removed/20230522104222-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-069,SVP,69,,グレイシア: プロモ [SV-P 069](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),42,122061,https://cdn.snkrdunk.com/upload_bg_removed/20230523021515-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-063,SVP,63,,シャワーズ: プロモ [SV-P 063](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),41,122055,https://cdn.snkrdunk.com/upload_bg_removed/20230522100923-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-080,SMP,80,,リーリエ: プロモ[SM-P 080](プロモーションカード「スペシャルBOX リーリエ&コスモッグ」),40,91232,https://cdn.snkrdunk.com/upload_bg_removed/20250123095517-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-161,SP,161,,ブラッキー: プロモ P [S-P 161](ポケモンカードゲーム ソード&シールド 「プロモカードパック 第5弾」),39,299244,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-161-yu.webp,,,,ADD_CANDIDATE
pkmn-tcg-S10b-P-289,S10BP,289,,ヒトカゲ P [S-P 289](プロモーションカード「ポケモン GO ギフトキャンペーン」),39,666714,https://cdn.snkrdunk.com/upload_bg_removed/20250804025027-2.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-074,SVP,74,,ピカチュウ: プロモ[SV-P 074](「タント×ポケモンカードゲーム」プロモーションカード「SV-P」),38,132896,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SV-P-074.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-017,S8AP,17,,レントラーGL LV.X: プロモ [S8a-P 017](プロモカードパック 25th ANNIVERSARY edition),38,286966,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-017.webp,CRD_24EBBFED607C41D7B562,조로아,0.6538,ADD_CANDIDATE
pkmn-tcg-XY-P-WGCP-079,XYPWGCP,79,,MゲンガーEX P [XY-P 079](プロモーションカード「白いメガゲンガーキャンペーン 対象商品購入者プレゼント」),38,411732,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314623-yu.webp,CRD_AFB2E1221F7B49C4B30F,M팬텀 EX,0.811,ADD_CANDIDATE
pkmn-tcg-SV-P-064,SVP,64,,サンダース: プロモ [SV-P 064](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),37,122056,https://cdn.snkrdunk.com/upload_bg_removed/20230522101011-0.webp,CRD_C0FD791CFBCB5AE1036E,레시라무 V,0.659,ADD_CANDIDATE
pkmn-tcg-S8a-P-016,S8AP,16,,ネンドール: プロモ [S8a-P 016](プロモカードパック 25th ANNIVERSARY edition),34,286963,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-016.webp,,,,ADD_CANDIDATE
pkmn-tcg-PKP-AC-043,PKPAC,43,,ポケパークのピカチュウ P [PCG-P 043](プロモーションカード「ポケパーク ルギアのくるくるシップ」),34,452687,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7307063-na.webp,CRD_F962598C2D154F409151,피카츄,0.7323,ADD_CANDIDATE
pkmn-tcg-M-P-022,MP,22,,リオル P [M-P 022](プロモカードパック「マクドナルド ハッピーセット2025」),34,671488,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-M-P-022-of.webp,CRD_5AA4F2695B3D4CB48B68,루카리오,0.7721,ADD_CANDIDATE
pkmn-tcg-SM-P-287,SMP,287,,イーブイ ムンク展: プロモ[SM-P 287](プロモーションカード「SM-P」),33,100093,https://cdn.snkrdunk.com/upload_bg_removed/20221018030906-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-M-P-033,MP,33,,おいわいファンファーレ P [M-P 033](プロモーションカード「チャンピオンシップシリーズ 2025 獲得CSP30～79ポイント 賞品」),32,704198,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-M-P-033-of.webp,,,,ADD_CANDIDATE
pkmn-tcg-DP-P-093-094-095,DPP093094,95,,ピカチュウLV.12 [DP-P 095](プロモーションカード「バトルロード スプリング★2008 来場記念カード」),32,453285,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7313206-yu.webp,CRD_243B025EA81342949B2D,피카츄,0.664,ADD_CANDIDATE
pkmn-tcg-SM-P-290,SMP,290,,モクロー ムンク展: プロモ[290 SM-P](プロモーションカード「SM-P」),31,100092,https://cdn.snkrdunk.com/upload_bg_removed/20221018030609-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S10b-P-287,S10BP,287,,フシギダネ P [S-P 287](プロモーションカード「ポケモン GO ギフトキャンペーン」),31,666715,https://cdn.snkrdunk.com/upload_bg_removed/20250804025027-1.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-224,SMP,224,,ピカチュウ: プロモ[SM-P 224](プロモーションカード「SM-P」),30,91252,https://cdn.snkrdunk.com/upload_bg_removed/7325733.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-307,SMP,307,,ピカチュウ: プロモ [SM-P 307](プロモーションカード「SM-P」),30,107553,https://cdn.snkrdunk.com/upload_bg_removed/20221219071651-0.webp,CRD_C01B9679589B47678C03,피카츄,0.7772,ADD_CANDIDATE
pkmn-tcg-S8a-P-004,S8AP,4,,にせオーキドはかせ: プロモ [S8a-P 004](プロモカードパック 25th ANNIVERSARY edition),30,286962,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-004.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-013,S8AP,13,,ロケット団の幹部: プロモ [S8a-P 013](プロモカードパック 25th ANNIVERSARY edition),29,286965,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-013.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-174,SVP,174,,おいわいファンファーレ P [SV-P 174](プロモーションカード「チャンピオンシップシリーズ 2024 獲得CSP30ポイント 賞品」),27,342779,https://cdn.snkrdunk.com/upload_bg_removed/20240802063705-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-IDN-SV-P-155,IDNSVP,155,,バティックシャツを着たピカチュウ (ヒトデマン柄) P [SV-P 155]【インドネシア語版】(ピカチュウのインドネシアジャーニー),26,708759,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-IDN-SV-P-155-of.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-400,SMP,400,,ピカチュウ: プロモ[SM-P 400](プロモーションカード「SM-P」),26,93060,https://cdn.snkrdunk.com/upload_bg_removed/20240518060259-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-308,SMP,308,,かんこうきゃく: プロモ [SM-P 308](プロモーションカード「SM-P」),26,107557,https://cdn.snkrdunk.com/upload_bg_removed/20221219072431-0.webp,,,,ADD_CANDIDATE
