gap_type,source,our_card_id_if_any,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,scanner_top1_card_id,scanner_top1_score,scanner_top5_json,reason,action
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0E12AB50D23D4953B0AF,꿈트렁,sv2p_ja-81,AR,120830,pkmn-tcg-SV2P-081,ミミズズ AR[SV2P 081/071](拡張パック「スノーハザード」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-SV2P-5351.webp,CRD_0E12AB50D23D4953B0AF,0.792,"[{""cardId"": ""CRD_0E12AB50D23D4953B0AF"", ""name"": ""꿈트렁"", ""rarity"": ""AR"", ""ref"": ""sv2p_ja-81"", ""score"": 0.792}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0F321114788E4CC0A5AB,플라이곤 EX,xyp_ja-114,PR,411759,pkmn-tcg-XY-P-XYPCP4-114,フライゴンEX P [XY-P 114](プロモカードパック「第4弾」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314658-yu.webp,CRD_0F321114788E4CC0A5AB,0.8393,"[{""cardId"": ""CRD_0F321114788E4CC0A5AB"", ""name"": ""플라이곤 EX"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-114"", ""score"": 0.8393}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0F7BC33D863F44F7AA78,오리진 펄기아 V,swsh10p_ja-70,SR,96643,pkmn-tcg-1583,オリジンパルキアV SR[S10P 070/067](拡張パック「スペースジャグラー」),https://cdn.snkrdunk.com/upload_bg_removed/20220915072017-0.webp,CRD_0F7BC33D863F44F7AA78,0.6435,"[{""cardId"": ""CRD_0F7BC33D863F44F7AA78"", ""name"": ""오리진 펄기아 V"", ""rarity"": ""SR"", ""ref"": ""swsh10p_ja-70"", ""score"": 0.6435}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0FF5AA22F1EE4EE0BE22,루가루암 GX,sm4p_ja-56,RR,335547,pkmn-tcg-SM2+-034,ルガルガンGX RR [SM2+ 034/049](強化拡張パック「新たなる試練の向こう」),https://cdn.snkrdunk.com/upload_bg_removed/20240730022625-3.webp,CRD_0FF5AA22F1EE4EE0BE22,0.8521,"[{""cardId"": ""CRD_0FF5AA22F1EE4EE0BE22"", ""name"": ""루가루암 GX"", ""rarity"": ""RR"", ""ref"": ""sm4p_ja-56"", ""score"": 0.8521}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_10C2A523B328418CA28E,토네로스 GX,NO_JP,RR,,,,,,,[],SNK 후보 없음(소스 필요),NEEDS_SNK_SOURCE
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_10E17E66F341491EB014,조로아크 GX,sm3p_ja-54,RR,390959,pkmn-tcg-SM3+-054,ゾロアークGX RR [SM3+ 054/072](強化拡張パック「ひかる伝説」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7324092-yu.webp,CRD_10E17E66F341491EB014,0.8404,"[{""cardId"": ""CRD_10E17E66F341491EB014"", ""name"": ""조로아크 GX"", ""rarity"": ""RR"", ""ref"": ""sm3p_ja-54"", ""score"": 0.8404}, {""cardId"": ""CRD_E27171EB9F484C6AA129"", ""name"": ""조로아크 GX"", ""rarity"": ""RR"", ""ref"": ""sm8b_ja-70"", ""score"": 0.8353}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_10FA5F0FB2BB48E0A8F5,가라르 야도란 V,NO_JP,RR,,,,,,,[],SNK 후보 없음(소스 필요),NEEDS_SNK_SOURCE
OUR_NO_JP,OUR_CATALOG,CRD_113220EE585F46CDB3E3,부스터 GX,NO_JP,RR,392710,pkmn-tcg-SMI-001,ブースターGX [SMI 001/038](スターターセット「炎のブースターGX・水のシャワーズGX・雷のサンダースGX」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7326298-yu.webp,CRD_113220EE585F46CDB3E3,0.8698,"[{""cardId"": ""CRD_113220EE585F46CDB3E3"", ""name"": ""부스터 GX"", ""rarity"": ""RR"", ""ref"": ""smp-SM171"", ""score"": 0.8698}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_11E8AAB5199A493C9515,더시마사리 GX,sm1p_ja-26,RR,389191,pkmn-tcg-SM1+-026,ドヒドイデGX RR [SM1+ 026/051](強化拡張パック「サン&ムーン」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7323287-yu.webp,CRD_11E8AAB5199A493C9515,0.7398,"[{""cardId"": ""CRD_11E8AAB5199A493C9515"", ""name"": ""더시마사리 GX"", ""rarity"": ""RR"", ""ref"": ""sm1p_ja-26"", ""score"": 0.7398}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_12EFBAE37D35433DB103,명탐정 피카츄,svp_ja-98,PR,135232,pkmn-tcg-SV-P-098,名探偵ピカチュウ: プロモ [SV-P 098](プロモーションカード「SV-P」),https://cdn.snkrdunk.com/upload_bg_removed/20230823022422-0.webp,CRD_12EFBAE37D35433DB103,0.8509,"[{""cardId"": ""CRD_12EFBAE37D35433DB103"", ""name"": ""명탐정 피카츄"", ""rarity"": ""PR"", ""ref"": ""svp_ja-98"", ""score"": 0.8509}]",매핑됨(검증필요),VERIFY_MAPPING
