CRD_05103ACFA2DD4C54AC51,RAW,5178,5116,28
CRD_0512DE9EF51D4BE39554,PSA10,95523,93983,29
CRD_0512DE9EF51D4BE39554,PSA9,34448,34163,29
CRD_0512DE9EF51D4BE39554,RAW,34525,36184,29
CRD_05147F0295684127A3F6,PSA10,49014,55779,29
CRD_05147F0295684127A3F6,PSA9,24538,24418,29
CRD_05147F0295684127A3F6,RAW,4901,4702,29
CRD_053F45EBABE44DD09C9B,PSA10,519986,563166,28
CRD_053F45EBABE44DD09C9B,PSA9,316295,316990,28
CRD_053F45EBABE44DD09C9B,RAW,271373,266164,28
CRD_0542ACBB4B534F2A8089,PSA10,53393,52253,29
CRD_0542ACBB4B534F2A8089,RAW,2935,2935,29
CRD_0548814E2096488481FF,PSA10,24968,24847,29
CRD_0548814E2096488481FF,PSA9,15580,21333,29
CRD_0548814E2096488481FF,RAW,6791,6776,29
CRD_054B8B1A8D90438899B1,PSA10,507779,503093,26
CRD_054B8B1A8D90438899B1,PSA9,169404,167841,26
CRD_054B8B1A8D90438899B1,RAW,152000,,0
CRD_05613B885FD5443C8BC8,PSA10,45326,52341,29
CRD_05613B885FD5443C8BC8,PSA9,18653,18739,29
CRD_05613B885FD5443C8BC8,RAW,8236,8635,29
CRD_0596431CCC63469EA0C3,PSA10,1007502,998205,26
CRD_0596431CCC63469EA0C3,PSA9,278975,274872,26
CRD_0596431CCC63469EA0C3,RAW,570000,,0
CRD_059BC58882F1444791AD,PSA10,325834,344179,28
CRD_059BC58882F1444791AD,PSA9,104979,102246,28
CRD_059BC58882F1444791AD,RAW,60092,56696,28
CRD_05A7C02B26DC4C7B8CDE,PSA10,134631,130832,28
CRD_05A7C02B26DC4C7B8CDE,PSA9,46709,45502,28
CRD_05A7C02B26DC4C7B8CDE,RAW,8804,8804,28
CRD_05B09E19DF994717ADC4,PSA10,64379,63905,29
CRD_05B09E19DF994717ADC4,PSA9,45895,45672,29
CRD_05B09E19DF994717ADC4,RAW,15365,15365,29
CRD_05BEE743A1F84904ADE4,PSA10,64313,55284,29
CRD_05BEE743A1F84904ADE4,PSA9,29184,28629,29
CRD_05BEE743A1F84904ADE4,RAW,3857,3780,29
CRD_05D7F2E3587346D5BC44,PSA10,53147,52889,29
CRD_05D7F2E3587346D5BC44,RAW,6484,6484,29
CRD_05EA83500DDE4FE39A00,PSA10,132491,130843,29
CRD_05EA83500DDE4FE39A00,PSA9,28440,28231,29
CRD_05EA83500DDE4FE39A00,RAW,11155,10494,29
CRD_05EEC7741BAF4827B1B7,PSA10,66683,60106,28
CRD_05EEC7741BAF4827B1B7,PSA9,46307,45813,28
CRD_05EEC7741BAF4827B1B7,RAW,3933,3964,27
CRD_0606801AD7A847EF992E,PSA10,14664,14526,28
CRD_0606801AD7A847EF992E,RAW,1598,1583,28
CRD_065512D143D348EDBE3E,PSA10,57341,49311,29
CRD_065512D143D348EDBE3E,PSA9,42330,41980,29
CRD_065512D143D348EDBE3E,RAW,2197,2289,29
CRD_0672E08240B840E58C03,RAW,5654,5654,29
CRD_06740DF77DAB42EB94FC,PSA10,91421,91487,29
CRD_06740DF77DAB42EB94FC,PSA9,30760,38516,29
CRD_06740DF77DAB42EB94FC,RAW,17055,16364,29
CRD_06913448CCA04DE6B272,PSA10,60857,45229,29
CRD_06913448CCA04DE6B272,PSA9,21212,21215,29
CRD_06913448CCA04DE6B272,RAW,2950,3058,29
CRD_069D993EF5274D81B98E,PSA10,47569,47338,29
CRD_069D993EF5274D81B98E,PSA9,20420,20321,29
CRD_069D993EF5274D81B98E,RAW,522,430,29
CRD_06B5F77BEF2A4FCE9B9B,PSA10,49132,52610,28
CRD_06B5F77BEF2A4FCE9B9B,PSA9,27723,27461,28
CRD_06B5F77BEF2A4FCE9B9B,RAW,2735,2773,28
CRD_06BED8DCDED386D09CC6,PSA10,73014,73040,10
CRD_06BED8DCDED386D09CC6,PSA9,22279,22287,10
CRD_06BED8DCDED386D09CC6,RAW,9388,8896,21
CRD_06CEAC2A8B35426D926A,PSA10,101290,100557,28
CRD_06CEAC2A8B35426D926A,PSA9,26241,25993,28
CRD_06CEAC2A8B35426D926A,RAW,3795,3503,28
CRD_06D78B5B12AC4475BDA5,RAW,16425,16425,29
CRD_070B71AF46134ABAB790,PSA10,45619,45412,29
CRD_070B71AF46134ABAB790,RAW,1183,1183,29
CRD_0736415A8A2440169E58,PSA10,42330,42125,29
CRD_0736415A8A2440169E58,RAW,1982,1982,29
CRD_074346DE46AC4F019E17,PSA10,83091,81333,28
CRD_074346DE46AC4F019E17,PSA9,27738,27442,28
CRD_074346DE46AC4F019E17,RAW,27365,27503,28
CRD_075869C1BFF3489794D1,PSA10,6146,6116,29
CRD_075869C1BFF3489794D1,RAW,4087,4210,29
CRD_0764FF85AFFD44039B19,PSA10,38458,38289,30
CRD_0764FF85AFFD44039B19,RAW,11047,11047,30
CRD_0772C5CF7513F14CB993C2F4FEE4944E,PSA10,24502493,22010514,26
CRD_0772C5CF7513F14CB993C2F4FEE4944E,PSA9,12071534,11201769,26
CRD_077EAB8DA2FB416FBA52,PSA10,54272,53625,28
CRD_077EAB8DA2FB416FBA52,PSA9,21610,21352,28
CRD_077EAB8DA2FB416FBA52,RAW,9265,8512,28
CRD_07838391EB0EE31C2240,PSA10,82448,82507,9
CRD_07838391EB0EE31C2240,RAW,26550,26550,20
CRD_078657E48A5C7962311A,PSA10,28601,28630,9
CRD_078657E48A5C7962311A,RAW,615,584,20
CRD_07B17A05B9584311B888,PSA10,51072,50953,29
CRD_07B17A05B9584311B888,PSA9,30751,30751,29
CRD_07B17A05B9584311B888,RAW,3810,3872,29
CRD_07C8867477114A5E9490,PSA10,136470,122689,29
CRD_07C8867477114A5E9490,PSA9,27672,27563,29
CRD_07C8867477114A5E9490,RAW,25705,25152,29
CRD_07E30AB6E1C54457BB2D,PSA10,316254,135600,29
CRD_07E30AB6E1C54457BB2D,PSA9,38274,38088,29
CRD_07E30AB6E1C54457BB2D,RAW,12983,13659,29
CRD_080B6E0862C44602A883,PSA10,64532,63724,29
CRD_080B6E0862C44602A883,PSA9,21234,20968,29
CRD_080B6E0862C44602A883,RAW,1337,1444,29
CRD_0810CE32B1AB400B95BA,PSA10,236971,234081,30
CRD_0810CE32B1AB400B95BA,PSA9,69172,68868,30
CRD_0810CE32B1AB400B95BA,RAW,63380,63380,30
CRD_08208815CA6B42DFB7C7,PSA10,62393,49265,29
CRD_08208815CA6B42DFB7C7,PSA9,35528,34951,29
CRD_08208815CA6B42DFB7C7,RAW,3365,3396,29
CRD_0822CD02EBF4BC46E659,RAW,153633,,0
CRD_08372C116D1A44CE82AB,PSA10,76862,76512,29
CRD_08372C116D1A44CE82AB,RAW,6730,1152,29
CRD_0839A3235BFC40C7A767,PSA10,205089,190417,29
CRD_0839A3235BFC40C7A767,PSA9,105111,104200,29
CRD_0839A3235BFC40C7A767,RAW,132475,132475,29
CRD_088D2EC7F19046DCB5F5,RAW,461,461,29
CRD_088EFCFA66FD4762A236,PSA10,169996,168745,29
CRD_088EFCFA66FD4762A236,RAW,76824,76824,29
CRD_08B2DC8AD0B04FF58A33,PSA10,49797,49617,29
CRD_08B2DC8AD0B04FF58A33,PSA9,10767,10728,29
CRD_08B2DC8AD0B04FF58A33,RAW,3795,3565,29
