card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_227EEF4A668D4B91A0DE,메가드래캄 ex,SAR,116/083,776367,46847,415589,,0.113,,,8.87,,A_1M,19000,49,2.466,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_26B8AD9FA6554601A3B7,뮤츠 GX,SSR,219/150,91294,120921,867204,205963,0.139,0.587,4.21,7.17,1.7,A_1M,329175,8,0.367,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_27DC42C3D270417B9335,님피아 VMAX,RR,192/414,141087,6023,83943,31267,0.072,0.193,2.685,13.94,5.19,A_1M,17100,5,0.352,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_2816C9B402A643F99D42,이상해꽃 ex,SR,184/165,128100,7898,85854,43896,0.092,0.18,1.956,10.87,5.56,A_1M,23750,9,0.333,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_2F1F77D90BA84F3E8C7D,피카츄,PR,S-P 75,334018,53761,430801,134631,0.125,0.399,3.2,8.01,2.5,A_1M,131100,28,0.41,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_30A6CD03B29E4EAFA1C2,로켓단의 니로우,AR,106/098,568316,6538,61934,25578,0.106,0.256,2.421,9.47,3.91,A_1M,14250,5,0.459,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_331B23CD1B3542C09584,피카츄&제크로무 GX,SR,100/095,129023,138283,887160,156512,0.156,0.884,5.668,6.42,1.13,A_1M,285000,9,0.485,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_33A7A42687184DCAA53F,푸크린 ex,SR,189/165,128105,3964,60626,17951,0.065,0.221,3.377,15.29,4.53,A_1M,11875,8,0.334,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_36D39DBAA5EC4EE09001,후딘 ex,SR,190/165,128106,5900,76606,36341,0.077,0.162,2.108,12.98,6.16,A_1M,17100,6,0.345,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_382ECC8BA6034DAF9178,뮤츠 VSTAR,UR,091/071,93009,35815,169012,33623,0.212,1.065,5.027,4.72,0.94,A_1M,95000,31,0.377,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_3AF8CE5102AA47F5A68E,리자몽 ex,SAR,134/108,132279,223589,790518,314574,0.283,0.711,2.513,3.54,1.41,A_1M,489250,24,0.457,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_3C1390FC1DF04130BF02,민화의 초대,SR,197/165,128112,16087,111814,31887,0.144,0.505,3.507,6.95,1.98,A_1M,36100,22,0.446,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_3F605DD9C57145F4A405,레시라무 ex,SR,160/086,607935,3472,74318,28256,0.047,0.123,2.63,21.4,8.14,A_1M,10450,5,0.332,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_43A31E18194141E18BFC,피카츄 VMAX,PR,S-P 74,91130,153648,628170,130463,0.245,1.178,4.815,4.09,0.85,A_3M,437000,11,0.352,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
