card_id,name,rarity,num,jp_ref,en_ref,selected_source,ko_current,selected_raw_krw,coef_current,en_raw,jp_raw,snk_raw,snk_n,jp_p10,jp_p9,snk_p10,snk_p9,scry_ladder,snk_ladder,pricing_mode,jp_coef,jp_coef_scope,ko_via_jp,ko_via_snk,mult_jp,mult_snk,selection_bug_raw,underpriced_by_jp,underpriced_by_snk,coef_missing,actionable,category
CRD_2C17B97D2D95413699E9,뮤츠&뮤 GX,SR,098/094,sm11_ja-98,smp-SM191,JP,49130,626653,0.078400,485128,626653,3040000,8,5041959,1183904,5206000,2080500,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,243536,1181432,5.0,24.0,False,True,True,False,True,UNDERPRICED
CRD_4E8F8D42F8524276A6BD,뮤츠 GX,RR,027/080,NO_JP,sm115-31,EN,2718,14443,0.188200,14376,0,285000,4,0,0,627000,56810,,PSA10 > RAW > PSA9,COEF,0.228936,RARITY,,65247,,24.0,False,False,True,False,True,UNDERPRICED
CRD_4326CC9CE8E842FB8F45,벨,SR,063/059,bw6c_ja-63,bw7-147,EN,31999,319987,0.100000,318507,1900000,0,0,1564521,442137,1448750,0,RAW > PSA10 > PSA9,PSA10,COEF,0.388629,RARITY,738395,,23.1,,True,True,False,False,True,UNDERPRICED
CRD_ECF4D706A0EC47988C66,글라디오,SR,055/050,sm4s_ja-55,sm4-109,EN,4040,24046,0.168000,24046,237500,0,0,170457,167476,316806,156750,RAW > PSA10 > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,92299,,22.8,,True,True,False,False,True,UNDERPRICED
CRD_4D3EF2E899D943459B77,은송,SR,089/078,xy6_ja-88,xy6-108,EN,7376,54883,0.134400,54629,427500,285000,2,764783,198943,705280,0,PSA10 > RAW > PSA9,PSA10 > RAW,COEF,0.388629,RARITY,166139,110759,22.5,15.0,True,True,True,False,True,UNDERPRICED
CRD_7BA2781997C84AA48CE9,쉐이미 EX,SR,021/025,sc1_ja-21,bw11-RC21,EN,6161,61613,0.100000,61328,353350,0,0,995163,306267,949990,332500,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,137322,,22.3,,True,True,False,False,True,UNDERPRICED
CRD_0161FB6AE117410F872F,M거북왕 EX,SR,106/100,cp6_ja-93,xy12-102,EN,13551,100824,0.134400,100824,760000,0,0,1100289,175159,1460596,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,295358,,21.8,,True,True,False,False,True,UNDERPRICED
CRD_576DC2D934294498A93F,캐스퐁,CHR,211/184,swsh8b_ja-211,swsh11tg-TG11,JP,2952,3165,0.932500,3640,3165,57000,1,65869,30207,65920,0,PSA10 > PSA9 > RAW,PSA10 > RAW,COEF,1.12,RARITY,3545,63840,1.2,21.6,False,True,True,False,True,UNDERPRICED
CRD_0099D36F822141DF8467,체렌,PR,,svp_ja-279,me2pt5-258,EN,434,1352,0.321100,1346,107538,31664,1,0,0,104500,0,RAW,PSA10 > RAW,COEF,0.085544,RARITY,9199,2709,21.2,6.2,True,True,True,False,True,UNDERPRICED
CRD_F95BEA7A5720433E9FDF,풍란,SR,076/070,bw7_ja-76,bw7-149,EN,33749,337488,0.100000,335926,1805000,0,0,3323929,0,2971600,0,PSA10 > RAW,PSA10,COEF,0.388629,RARITY,701475,,20.8,,True,True,False,False,True,UNDERPRICED
