card_id,name,rarity,collection_number,jp_ref,en_ref,ko_price,selected_source,coef_key,coef_value,en_raw_krw,true_raw_estimate_krw,estimate_basis,under_x,severity,snk_raw_krw,snk_n,snk_psa10_krw,jp_raw_krw,jp_psa10_krw,jp_psa9_krw,ladder_broken,blind_spot_low62,en_fallback,snk_quality
CRD_36CCEEAEBFE444AF8E74,팬텀 EX,SR,090/088,xy4_ja-90,xy4-114,148589,EN,en_XY_SR,0.134400,1105574,4275000,SCRYDEX_JP_RAW,28.8,CRITICAL,0,0,11875000,4275000,6328461,738043,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_808A9BA456B1456EA2A4,M후딘 EX,SR,081/078,xy10_ja-81,xy10-118,16512,EN,en_XY_SR,0.134400,122857,475000,SCRYDEX_JP_RAW,28.8,CRITICAL,0,0,0,475000,876771,340530,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_DFCF50A9D81E409E9EB8,그란돈 EX,SR,073/070,xy5g_ja-73,xy5-150,22234,EN,en_XY_SR,0.134400,165433,633327,SNK_RAW(n1),28.5,CRITICAL,633327,1,0,401405,1725106,399564,RAW_OVER_PSA9,,Y,SNK_THIN
CRD_A0F533475FB645238571,이상해꽃&주리비얀 GX,SR,066/064,sm11a_ja-66,smp-SM229,6624,JP,jp_SM_SR,0.078400,84491,188100,SNK_RAW(n1),28.4,CRITICAL,188100,1,425116,84491,377882,117566,,,,SNK_THIN
CRD_16D569A705C64B95885E,M얼음귀신 EX,SR,061/059,xy8b_ja-61,xy8-156,4339,EN,en_XY_SR,0.134400,32281,122918,SCRYDEX_JP_RAW,28.3,CRITICAL,0,0,0,122918,358693,309627,,,Y,NO_SNK
CRD_C0B9156965764BADB0C5,레시라무&리자몽 GX,SR,096/095,sm10_ja-96,sm10-194,7412,JP,jp_SM_SR,0.078400,94540,207100,SNK_RAW(n4),27.9,CRITICAL,207100,4,683525,94540,494656,88755,RAW_OVER_PSA9,,,SNK_THIN
CRD_1BD0376A3CA8485BB302,릴리에,SR,119/114,sm4p_ja-119,sm5-151,118282,EN,en_SM_SR,0.168000,704061,3277500,PSA10x0.15,27.7,CRITICAL,0,0,21850000,0,8826815,5749049,,Y,Y,NO_SNK
CRD_646451564B014C19BB2E,피카츄 EX,SR,107/100,cp6_ja-94,xyp-XY124,83229,EN,en_XY_SR,0.134400,619263,2304720,SCRYDEX_JP_RAW,27.7,CRITICAL,0,0,12064990,2304720,11806540,2855851,,,Y,NO_SNK
CRD_D2A40714424C4D3E9F8C,비주기의 계획,SR,064/059,xy8r_ja-64,xy8-162,5002,EN,en_XY_SR,0.134400,37214,138283,SCRYDEX_JP_RAW,27.6,CRITICAL,0,0,416936,138283,699267,0,,,Y,NO_SNK
CRD_918A096A622440B6B1CE,파이어&썬더&프리져 GX,SR,059/054,sm10b_ja-59,sm115-66,5195,JP,jp_SM_SR,0.078400,66268,142500,SNK_RAW(n2),27.4,CRITICAL,142500,2,558382,65239,270693,99826,,,,SNK_THIN
CRD_9BC1A3BF1D4A4EEE8BE3,전룡 EX,SR,085/081,xy7_ja-85,xy7-87,7042,EN,en_XY_SR,0.134400,52394,190000,SCRYDEX_JP_RAW,27.0,CRITICAL,0,0,475000,190000,540983,0,,Y,Y,NO_SNK
CRD_E81BE663681D40F082FC,피카츄,PR,S-P 183,swshp_ja-323,swsh12pt5-160,26405,EN,en_GLOBAL,0.321100,82232,712500,SNK_RAW(n34),27.0,CRITICAL,712500,34,1127080,665000,1221548,526625,RAW_OVER_PSA9,Y,Y,SNK_CONFIRMED
CRD_0902F4E6CC9047A98559,피카츄,PR,,svp_ja-218,svp-88,4326,JP,jp_PR,0.085500,50596,116375,SNK_RAW(n58),26.9,CRITICAL,116375,58,333678,50596,369286,84815,,,,SNK_CONFIRMED
CRD_D94E04ECD5514CC887E1,수련,SR,120/114,sm4p_ja-118,sm5-150,11515,EN,en_SM_SR,0.168000,68542,307296,SCRYDEX_JP_RAW,26.7,CRITICAL,0,0,1994810,307296,1997430,358785,,,Y,NO_SNK
CRD_795EDB8C9C91475EBBBD,재인,SR,064/059,xy8b_ja-64,xy8-161,7062,EN,en_XY_SR,0.134400,52548,186298,SCRYDEX_JP_RAW,26.4,CRITICAL,0,0,1292000,186298,1111445,457177,,,Y,NO_SNK
CRD_331B23CD1B3542C09584,피카츄&제크로무 GX,SR,100/095,sm9_ja-100,sm9-162,10841,JP,jp_SM_SR,0.078400,138283,285000,SNK_RAW(n9),26.3,CRITICAL,285000,9,1055688,138283,887160,156512,,,,SNK_CONFIRMED
CRD_4BDF5407844B4C4399F9,루기아 GX,SR,100/095,sm8_ja-100,sm8-207,9031,JP,jp_SM_SR,0.078400,115190,237500,SNK_RAW(n3),26.3,CRITICAL,237500,3,760000,115190,812750,119631,,,,SNK_THIN
CRD_B02D8C31DB1A44969F52,가이오가 EX,SR,072/070,xy5t_ja-72,xy5-148,25491,EN,en_XY_SR,0.134400,189663,665000,SCRYDEX_JP_RAW,26.1,CRITICAL,0,0,1330000,665000,1702977,358586,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_2F1F77D90BA84F3E8C7D,피카츄,PR,S-P 75,swshp_ja-124,swshp-SWSH153,5087,JP,jp_PR,0.085500,59493,131100,SNK_RAW(n28),25.8,CRITICAL,131100,28,394240,53761,430801,134631,,,,SNK_CONFIRMED
CRD_8EAE0303CE1A4A19A2DB,라이츄&알로라라이츄 GX,SR,056/054,sm10a_ja-56,sm11-220,4870,JP,jp_SM_SR,0.078400,62120,123500,SNK_RAW(n3),25.4,CRITICAL,123500,3,536750,62120,269034,54734,RAW_OVER_PSA9,,,SNK_THIN
CRD_85DA754292A84C40923E,지우개굴닌자 EX,PR,,xyp_ja-218,xyp-XY133,13137,JP,jp_PR,0.085500,153648,332310,SNK_RAW(n1),25.3,CRITICAL,332310,1,1501000,153648,1321130,495913,,,,SNK_THIN
CRD_A6E8EAA77BE24D74AEA7,체렌,SR,063/059,bw6f_ja-63,bw7-148,9397,EN,en_BW_SR,0.100000,93971,237500,SCRYDEX_JP_RAW,25.3,CRITICAL,0,0,406600,237500,416680,256144,,Y,Y,NO_SNK
CRD_FFAB6C584CD745B9A717,다크라이 EX,RR,072/093,bw4_ja-44,bw5-63,4945,JP,jp_RR,0.402800,12276,123500,SNK_RAW(n1),25.0,CRITICAL,123500,1,484500,12276,352605,25703,,,,SNK_THIN
CRD_44A13E89FE7A4D61BDE0,헬가 EX,SR,060/059,xy8r_ja-60,xy8-153,7659,EN,en_XY_SR,0.134400,56988,190000,SCRYDEX_JP_RAW,24.8,CRITICAL,0,0,332500,190000,443401,122322,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_5C104F12C3C94EE49C84,명탐정 피카츄,SM-P,143/SM-P,smp_ja-337,smp-SM170,19310,EN,en_GLOBAL,0.321100,60138,466032,SNK_RAW(n5),24.1,CRITICAL,466032,5,1140000,427500,413019,62506,RAW_OVER_PSA9;RAW_OVER_PSA10,Y,Y,SNK_CONFIRMED
CRD_96F78E077FFB4F7BADB9,큐레무 EX,SR,084/081,xy7_ja-84,xy7-86,7201,EN,en_XY_SR,0.134400,53577,171000,SCRYDEX_JP_RAW,23.7,CRITICAL,0,0,0,171000,441887,0,,Y,Y,NO_SNK
