card_id,name,rarity,officialCode,scrydexRef,vector_count
CRD_194B5562B1004DE38384,메가자리 ex,RR,BS2025005003,sv9a_ja-3,15
CRD_EC34D111213C43B5BEEC,카푸나비나 GX,RR,BS2017005022,sm2l_ja-22,15
CRD_752E0163C4CD4407BF4E,페로코체 GX,RR,BS2017013012,sm4p_ja-12,15
CRD_4BEB72DA1111474B823F,다크라이 VSTAR,RR,BS2022006008,swsh10-99,10
CRD_2848B49941EA4681B936,네스트볼,UR,BS2023006107,sv1s_ja-107,15
CRD_C947328FCB434E7590C5,기로치 ex,RR,BS2024011038,sv6a_ja-38,15
CRD_C8EE67358FA34E24ADA8,무너진 스타디움,UR,BS2022014126,swsh11_ja-127,15
CRD_31E450B6EC254990BB9A,오리진 펄기아 VSTAR,RR,BS2024010002,swsh10p_ja-23,5
CRD_E7E4AD0007C34D1497B1,철화구야 GX,SR,BS2017013117,sm4p_ja-117,15
CRD_CC98897D68674AA78A4D,케르디오 ex,RR,BS2025008027,sv11w_ja-27,15
CRD_32DA3CE96EF341D98DBD,앤테이,H,BS2010008010,dp3_ja-294,20
CRD_3179926ACA3A4B8DB939,엘레이드,H,BS2010007026,dp3_ja-333,20
CRD_B3A58170CBD947CBA315,귀뚤톡크 V,RR,BS2021002004,swsh5r_ja-4,15
CRD_58A3A28F0B5B44379846,각성의 드럼,ACE,BS2024004061,sv5k_ja-62,15
CRD_E3EBBD9998F746FDB3A1,페로코체 GX,SR,BS2017013115,sm4p_ja-115,15
CRD_317EAC5DAF994DC18318,터보 패치,UR,,swsh3_ja-118,10
CRD_7CF241F7D8894674AAA9,포켓몬 교체,UR,BS2023014209,sv2a_ja-209,15
CRD_6125F960819C41089EBD,인텔리레온 VMAX,,BS2021009006,swsh8-79,10
CRD_417CF2C12A5949EC9DB5,오거폰 주춧돌의 가면 ex,RR,BS2024019091,sv8a_ja-91,15
CRD_428C55ECF9A14BC098C4,찌르호크,H,BS2010001048,dp1_ja-459,20
CRD_71AE6E6027D8468280E3,레시라무 ex,RR,BS2025008017,sv11w_ja-17,15
CRD_D8B2383E943F488E8073,카푸나비나 GX,RR,BS2017013045,sm4p_ja-45,15
CRD_DAADB791E7E14EB1BE9E,그우린차 ex,RR,BS2024007009,sv5a_ja-9,15
CRD_9409CC75ADE9494ABAF5,에이스번 V,RR,BS2021013010,swsh8-43,10
CRD_14768F4E8ECF4A59973E,대로트 VMAX,RR,BS2022003029,swsh7r_ja-8,15
CRD_F3B02B06F9074DFEB4C5,제르네아스 BREAK,RR,BS2016006042,xy11f_ja-42,20
CRD_9D172DE2DBE542B2A3AA,리부트 포드,ACE,BS2024005061,sv5m_ja-63,15
CRD_C500B7E84C0B4C4AA149,블레이범,H,BS2010006011,dp2_ja-188,20
CRD_5CAE6FBC24854D2CA265,복숭악동 ex,RR,BS2024019105,sv8a_ja-105,15
CRD_A7343D8846554AA39698,채키몽,S,BS2020016204,swsh4a_ja-204,10
CRD_6BB81A500A5D47C6AEFC,칠색조 GX,RR,BS2017008012,sm3h_ja-12,15
CRD_54225423274C4FCD8360,장크로다일,H,BS2010006018,dp2_ja-191,20
CRD_757F993EE46349B8AC92,라이코,H,BS2010008017,dp3_ja-293,20
CRD_382CE880059B4573A09D,N의 조로아크 ex,RR,BS2025001061,sv9_ja-61,15
