psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
46357512574e4c32a8a6b13d0a5a7469,CRD_43BC0926ACC14BDDAA6B,개굴닌자 ex,SAR,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,090/066,RAW,93000,106710,0.87,2026-05-15,0.3,,CLEAN,,3,(5/15마감) 개굴닌자 sar,https://cafe.naver.com/cardmvk/557518,
703bdf65c3ad41de80abfec7bb4f77c9,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,92000,140612,0.65,2026-05-30,0.23,,CLEAN,,3,(5/30 마감)레시라무 bwr,https://cafe.naver.com/cardmvk/599234,
f1640accfe7b413db82ed61f4d063a37,CRD_43BC0926ACC14BDDAA6B,개굴닌자 ex,SAR,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,090/066,RAW,86000,106710,0.81,2026-05-08,0.27,,CLEAN,,3,(5/9 마감) 개굴닌자 SAR [크림슨 헤이즈],https://cafe.naver.com/cardmvk/540614,
e166bfa2587a4ffea1bdf4922ef372d2,CRD_9C2FBC6E628A43679527,명희의 격려,SAR,MEGA 확장팩 「니힐제로」,115/080,RAW,85000,73392,1.16,2026-06-10,0.58,,CLEAN,,3,(06/10 마감) 명희의 격려 sar싱글,https://cafe.naver.com/cardmvk/625655,
aca17afe968d4a3291be73cc24df45f0,CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,MUR,MEGA 확장팩 「니힐제로」,117/080,RAW,84000,133659,0.63,2026-06-04,0.3,,CLEAN,,3,6월4일마감)메가 지가르데 MUR,https://cafe.naver.com/cardmvk/609984,
6456777ebfe848ad9060ec5b82c1a28d,CRD_9C2FBC6E628A43679527,명희의 격려,SAR,MEGA 확장팩 「니힐제로」,115/080,RAW,83000,73392,1.13,2026-05-22,0.56,,CLEAN,,3,(5/22 금요일 마감) 명희의 격려 sar,https://cafe.naver.com/cardmvk/577892,
d7cfb5ab6085461eae4c59f9babba504,CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,MUR,MEGA 확장팩 「니힐제로」,117/080,RAW,80000,133659,0.6,2026-05-20,0.29,,CLEAN,,3,(5/20 마감) 메가지가르데 mur 싱글카드 경매,https://cafe.naver.com/cardmvk/572056,
745189c6fb974bd09b31560328714711,CRD_27DD36DAE86F45C69DEB,메가가디안 ex,SAR,MEGA 확장팩 「메가심포니아」,087/063,RAW,80000,77362,1.03,2026-05-22,0.38,,CLEAN,,3,(05/22 마감) 메가가디안 sar 싱글,https://cafe.naver.com/cardmvk/577665,
68e320433e84446c9cf44ed4364bc60c,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,RAW,80000,131156,0.61,2026-05-01,0.2,,CLEAN,,3,(5/1 마감) 블랙볼트 제크로무 bwr,https://cafe.naver.com/cardmvk/521894,
984b0414d2ad48599cb2adcd7672c3c6,CRD_89F870261BCE4E9C87D5,릴리에의 결심,SAR,MEGA 확장팩 「메가브레이브」,090/063,RAW,77000,82176,0.94,2026-05-15,0.32,,CLEAN,,3,[5/15일 마감] 릴리에의 결심 sar 싱글,https://cafe.naver.com/cardmvk/559142,
0f802c2e8df9468181e7456c13679abc,CRD_89F870261BCE4E9C87D5,릴리에의 결심,SAR,MEGA 확장팩 「메가브레이브」,090/063,RAW,75000,82176,0.91,2026-05-04,0.31,,CLEAN,,3,(5/4 마감) 릴리에의 결심 sar,https://cafe.naver.com/cardmvk/528166,
26b4ee8602194d60b9d2ef990cba95aa,CRD_9C2FBC6E628A43679527,명희의 격려,SAR,MEGA 확장팩 「니힐제로」,115/080,RAW,75000,73392,1.02,2026-05-18,0.51,,CLEAN,,3,(5/18 마감) 명희의 격려 sar 싱글,https://cafe.naver.com/cardmvk/566452,
8b309fc5a62b4e64b9db8a0318dc8e04,CRD_CBD74C6D3997478C92A5,릴리에의 삐삐 ex,SAR,스칼렛&바이올렛 확장팩 「배틀파트너즈」,126/100,RAW,75000,70040,1.07,2026-05-20,0.39,,CLEAN,,3,(5/20마감)100덱 릴리에의 삐삐 싱글 sar ,https://cafe.naver.com/cardmvk/573144,
