psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
16b691a664944273af0ef5de412f59ee,CRD_500998CEAE8F48BE9DA0,큐레무 ex,SAR,스칼렛&바이올렛 확장팩 「블랙볼트」,168/086,RAW,15000,24197,0.62,2026-04-30,0.24,JP_SUSPECT,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
c0e937b2d2cd46818488551de6e63fc4,CRD_EBD05116E1CE442AAF4E,피죤투 ex,SAR,스칼렛&바이올렛 확장팩 「흑염의 지배자」,136/108,RAW,15000,16525,0.91,2026-04-16,0.33,JP_SUSPECT,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
b51951db289247b18edba7062a4b3931,CRD_F92441CD205348ABA0D0,민화의 덩쿠리,AR,MEGA 「스타트 덱 100 배틀컬렉션」,743/742,RAW,15000,17989,0.83,2026-04-23,,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
371a5c2d0cbb4bdc8d92018850dfe8d4,CRD_D4672A5ECC0F45DABED3,보만다 ex,SAR,스칼렛&바이올렛 확장팩 「배틀파트너즈」,129/100,GRADED,15000,22153,0.68,2026-05-04,0.25,,DIRTY,graded,0,,,SOURCE_EVIDENCE_MISSING
f86e168eb37e4341b5429f68bb43c970,CRD_76057B536C1E494D9DD9,리자몽 ex,SSR,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,331/190,RAW,15000,9797,1.53,2026-05-08,0.58,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
3fb98fd5ac264566b75431ad0325a66b,CRD_6BAEC561FD824CA68028,메가리자몽X ex,MA,MEGA 하이클래스팩 「MEGA 드림 ex」,223/193,RAW,14000,15609,0.9,2026-05-04,0.2,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
9cc4ca2b7a7f4c0db1ad0202a445ca11,CRD_157F33DF43A34D268793,두빅굴,AR,스칼렛&바이올렛 확장팩 「블랙볼트」,109/086,RAW,14000,30487,0.46,2026-04-22,0.13,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
0ea2696505b54ee0a51d2f42dc1f26c3,CRD_B6F05ABED7AE47BAAD56,카밀레의 반짝임 [서포트/퓨전],SR,소드&실드 하이클래스팩 「VSTAR 유니버스」,249/172,RAW,14000,17943,0.78,2026-04-29,0.55,JP_SUSPECT,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
3d4ecdd4067b4e9b8834bd95ff3ca071,CRD_E1A0B45DD087457B9796,로켓단의 니드킹 ex,SAR,스칼렛&바이올렛 확장팩 「로켓단의 영광」,126/098,RAW,14000,42536,0.33,2026-05-01,0.12,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
7bd7e38540b2431db913a6ec5aef1ae2,CRD_AA067EA038324239B8DD,카르네,SR,썬&문 확장팩 제6탄 「금단의 빛」,102/094,GRADED,14000,9591,1.46,2026-04-27,,LADDER_BLIND,DIRTY,graded,3,,,NEEDS_MANUAL_SOURCE
