card_id,name,rarity,vector_count,in_prod_db,prod_lang,status
CRD_2FA7702340274C86BD77,루기아,P,5,False,,ORPHAN
CRD_15001EC749E84A82B566,흑마 버드렉스 VMAX,RR,5,False,,ORPHAN
CRD_1D0F4747A8BF4524B3CF,마릴리 ex,RR,5,True,KO,UNDER10
CRD_87A14B554FF84A3FAE6A,드래펄트 ex,RR,5,True,KO,UNDER10
CRD_1497BC4BBC0A034B7E00921E88FE436E,루이지 피카츄,PR,5,True,JP,UNDER10
CRD_69A3E53625B647AE962F,꿰뚫는화염 ex,RR,5,True,KO,UNDER10
CRD_A7C33D6D04CA4437BD1F,미라이돈 ex,RR,5,False,,ORPHAN
CRD_C9610AAB6E5FBA4645BC4011ED62CF41,고흐 피카츄,PR,5,True,JP,UNDER10
CRD_6CC0A5E07CEC4B85923F,미라이돈 ex,RR,5,True,KO,UNDER10
CRD_F5AF7D246A2542E48326,가라르 야도킹 V,RR,5,True,KO,UNDER10
CRD_83EC760B41124D8A9145,독침붕 ex,RR,5,True,KO,UNDER10
CRD_3FDB36F0CAF24E49B6CF,블래키 ex,RR,5,True,KO,UNDER10
CRD_8CE0A1EE438248E1ABA7,메가장크로다일 ex,RR,5,True,KO,UNDER10
CRD_321E17A2C21747AAB24E,복숭악동 ex,RR,5,True,KO,UNDER10
CRD_C2A0DB2254344C62AF81,민화의 라플레시아 ex,RR,5,True,KO,UNDER10
CRD_57A6E71EBA0E4FD0B4A1,묘두기 ex,RR,5,True,KO,UNDER10
CRD_83CB95F730174D28B274,메가플라엣테 ex,RR,5,True,KO,UNDER10
CRD_3CE005C5398E4DF8AA7A,레시라무 ex,RR,5,True,KO,UNDER10
CRD_74B902EF7172401CA468,메더 ex,RR,5,True,KO,UNDER10
CRD_89CF88D4F24A4B3FAB18,게을킹 ex,RR,5,True,KO,UNDER10
CRD_9E6C0EE28A034B84B8A7,흑마 버드렉스 V,RR,5,True,KO,UNDER10
CRD_9D7E49141F244802BAB2,렌트라 ex,RR,5,True,KO,UNDER10
CRD_BA2B81F85B96A37C5A65,피카츄,PR,5,False,,ORPHAN
CRD_842618E42E404622A7A4,로켓단의 니드킹 ex,RR,5,True,KO,UNDER10
CRD_8F205E645B108BEC8791C00BDAD3271D,교토 피카츄,PR,5,True,JP,UNDER10
CRD_035B0C7E2A9E47CA878C,개굴닌자 ex,RR,5,True,KO,UNDER10
CRD_20E1890D79D254945C3E00F70560A986,스카루단 고꼬 피카츄,PR,5,True,JP,UNDER10
CRD_B2272D4D776044FE9ABF,로켓단의 뮤츠 ex,RR,5,True,KO,UNDER10
CRD_DD658800D89F4F87A58E,묘두기 ex,RR,5,True,KO,UNDER10
CRD_3DA9FF90C36043F5AFDC,코바르온 ex,RR,5,True,KO,UNDER10
CRD_AE793A5668C14BE9A305,버랜지나 ex,RR,5,True,KO,UNDER10
CRD_367674FDDC443996584B85A2030A01A3,판쵸 피카츄 (가라도스),PR,5,True,JP,UNDER10
CRD_6CE96DE4AE2A4103BE43,펌킨인 ex,RR,5,True,KO,UNDER10
CRD_E310D2D65D884471AB15,흑마 버드렉스 V,RR,5,False,,ORPHAN
CRD_6963C4D7FD56481C9E05,동탁군 BREAK,RR,5,True,KO,UNDER10
CRD_D2DB42A5C2EF4407A186,메가장크로다일 ex,RR,5,True,KO,UNDER10
CRD_3E730E3C8E944D9C8CAD,리자몽 ex,RR,5,True,KO,UNDER10
CRD_547A995302794791994C,묘두기 ex,RR,5,False,,ORPHAN
CRD_31207730A1244D4BA676,멜메탈 ex,RR,5,True,KO,UNDER10
CRD_5A11A9B4CB924667ACDC,개굴닌자 BREAK,RR,5,True,KO,UNDER10
CRD_B294F7A527664134BFA8,버프론 ex,RR,5,True,KO,UNDER10
CRD_BCAF95D174344CE78E15,나오하 ex,RR,5,False,,ORPHAN
CRD_0772C5CF7513F14CB993C2F4FEE4944E,판쵸 피카츄 (레쿠쟈 2),PR,5,True,JP,UNDER10
CRD_2D3002A5B2F54337AD50,오리진 펄기아 V,RR,5,False,,ORPHAN
CRD_235AEB6FAEA54083A5AF,무쇠암석 ex,RR,5,True,KO,UNDER10
CRD_10FA5F0FB2BB48E0A8F5,가라르 야도란 V,RR,5,True,KO,UNDER10
CRD_8A55485EA762404EB6E8,바우첼 ex,RR,5,True,KO,UNDER10
CRD_55919508859C47C0A3FA,찬란한 후딘,K,5,False,,ORPHAN
CRD_0822CD02EBF4BC46E659,피카츄,PR,5,False,,ORPHAN
CRD_0FDC1A9392234CDCB81C,가라르 프리져 V,RR,5,True,KO,UNDER10
CRD_BF5F811DFD2B4CF8820F,백마 버드렉스 VMAX,RR,5,False,,ORPHAN
CRD_B44585853A93C37F791B552F69C70AA6,맥도날드 피카츄,PR,5,True,JP,UNDER10
CRD_44DEAF40BD594140A6C6,치라치노 ex,RR,5,True,KO,UNDER10
CRD_C06423A2D6344CF88D62,거북왕 ex,RR,5,True,KO,UNDER10
CRD_C83501C3B7174EAD9B11,백마 버드렉스 V,RR,5,True,KO,UNDER10
CRD_A0B7FEC7EBCC30F32231005D7A76B620,카나자와 피카츄,PR,5,True,JP,UNDER10
CRD_42F629B8A71E4DEBB5D5,찬란한 개굴닌자,K,5,False,,ORPHAN
CRD_2DAAC2D00EB94B1F861B,마휘핑 ex,RR,5,True,KO,UNDER10
CRD_41C8011108CC45C3B1B1,마기라스 ex,RR,5,True,KO,UNDER10
CRD_0B188D85E3A44B03D1BA,판초를 입은 이브이,PR,5,True,KO,UNDER10
CRD_1550F9965A5248E99C97,리자몽 ex,RR,5,True,KO,UNDER10
CRD_BCCA3EF5C1F04CD0BFC8,아르세우스,P,5,False,,ORPHAN
CRD_405854EB09E342C08AFB,다크라이 ex,RR,5,True,KO,UNDER10
CRD_9EC2FDEB07C043AC8403,브리가론 BREAK,RR,5,True,KO,UNDER10
CRD_53B11C0057674FE1817E,찬란한 리자몽,K,5,False,,ORPHAN
CRD_B071913DFA814921BA27,게노세크트 ex,RR,5,True,KO,UNDER10
CRD_7AC4C404D19B4C5FB0B1,메가드래캄 ex,RR,5,True,KO,UNDER10
CRD_54D2FB20FB064C93818F,몰드류 ex,RR,5,True,KO,UNDER10
CRD_B685013BF312463DBD3F,청목의 노고고치 ex,RR,5,True,KO,UNDER10
CRD_6E30EACB936041E98A01,조로아크 BREAK,RR,5,True,KO,UNDER10
CRD_C3F5BECDAF7048508A69,루카리오 ex,RR,5,True,KO,UNDER10
CRD_BE45969A67C04DAC8AA4,찬란한 개굴닌자,K,5,False,,ORPHAN
CRD_74F86A62A42E4BF9ACC7,따라큐 ex,RR,5,True,KO,UNDER10
CRD_F55908E6632F40A5BE9A,오거폰 화덕의 가면 ex,RR,5,True,KO,UNDER10
CRD_D74B2BB02D9740569EEB,노고고치 ex,RR,5,True,KO,UNDER10
CRD_5F5654DF27524F1385D6,가이오가 ex,RR,5,True,KO,UNDER10
CRD_BA10F03AB84145BBB276,메가메가니움 ex,RR,5,True,KO,UNDER10
CRD_2D4AA6D08A11483FA5DB,무쇠가시 ex,RR,5,True,KO,UNDER10
CRD_70DBE52BB8F949A2A864,오거폰 주춧돌의 가면 ex,RR,5,True,KO,UNDER10
CRD_C41854F7D20E8756104AAA3F9F81E8EA,요코하마 피카츄 (283),PR,5,True,JP,UNDER10
CRD_0E5CE3102B684AB7B177,멜리시 BREAK,RR,5,True,KO,UNDER10
CRD_F7FE6279B4A147BC9CD1,릴리에의 삐삐 ex,RR,5,True,KO,UNDER10
CRD_0076714031ED42A2B94D,뮤 ex,RR,5,False,,ORPHAN
CRD_A25CB6E36FC71EBDA24B,판초를 입은 피카츄,PR,5,True,KO,UNDER10
CRD_2FF2C290CEC24037998E,잠만보,P,5,False,,ORPHAN
CRD_12724DE193F242D89D06,돌핀맨 ex,RR,5,True,KO,UNDER10
CRD_D4F9A637FFAE4231A8CB,굽이치는물결 ex,RR,5,True,KO,UNDER10
CRD_1B3C44801C4A4FD287FD,다크라이 ex,RR,5,False,,ORPHAN
CRD_40C9B79679FB427396C0,꿈트렁 ex,RR,5,True,KO,UNDER10
CRD_79D926D3E72B4438C2AB,팀 플라즈마 보스 피카츄,PR,5,True,KO,UNDER10
CRD_F8ED1A43F2F04EE69ABA,메가화염레오 ex,RR,5,True,KO,UNDER10
CRD_16F421291B064AC58BAE,멜메탈 ex,RR,5,False,,ORPHAN
CRD_7ADACFDF9777471C8C30,루카리오 ex,RR,5,True,KO,UNDER10
CRD_89833C24B80A4DB1A938,개굴닌자 ex,RR,5,True,KO,UNDER10
CRD_9CE6BF712A2F4E708FD7,개굴닌자 ex,RR,5,False,,ORPHAN
CRD_3676B88FE7374BDBB1B2,뮤츠 ex,RR,5,True,KO,UNDER10
CRD_DECDD9969EB941668D1B,대로트 BREAK,RR,5,True,KO,UNDER10
CRD_D4A2792848114DE49FC6,기라티나,P,5,False,,ORPHAN
CRD_B4DD248887AA402E79E6048CF14A6FA5,판쵸 피카츄 (레쿠쟈),PR,5,True,JP,UNDER10
CRD_BE9FEC8AE3E9478EB79E,무쇠감투 ex,RR,5,True,KO,UNDER10
CRD_C8708FEE42914C2C92BD,다투곰 붉은 달 ex,RR,5,True,KO,UNDER10
CRD_8A0FF8340E754322A4A3,일격 우라오스 V,RR,5,True,KO,UNDER10
CRD_82DFF8A996C7452988B7,찬란한 리자몽,K,5,False,,ORPHAN
CRD_2938D81021984B85A99B,로켓단의 페르시온 ex,RR,5,True,KO,UNDER10
CRD_483AB154688A4D959891,로켓단의 크로뱃 ex,RR,5,True,KO,UNDER10
CRD_BC643F61B6A0A15DA4F179160FCF9B92,뭉크 피카츄,PR,5,True,JP,UNDER10
CRD_C00E1C8CFE15D51E795F88D9D5D14E94,판쵸 피카츄 (메가 캠페인),PR,5,True,JP,UNDER10
CRD_330E7648167E59934C965289F6483878,요코하마 피카츄 (281),PR,5,True,JP,UNDER10
CRD_2FB8CA83CF9D40F1A071,뮤 ex,RR,5,True,KO,UNDER10
CRD_04D99176AC394E17A7AC,팬텀,P,5,False,,ORPHAN
CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,5,True,JP,UNDER10
CRD_276FDCBEC53540638A45,리오르,P,5,False,,ORPHAN
CRD_BB0CFF854EAC4E149745,기로치 ex,RR,5,False,,ORPHAN
CRD_B71FB8408EAC4867A18F,모야모의 찌리배리 ex,RR,5,True,KO,UNDER10
CRD_0DF80E4557DE4819B172,나오하 ex,RR,5,True,KO,UNDER10
CRD_4D759BDF090940E79C0A,찬란한 개굴닌자,K,5,False,,ORPHAN
CRD_9A350D2269353CD3471E3F4C99EB760D,카나자와 피카츄 2,PR,5,True,JP,UNDER10
CRD_3610EE3BBB834DF6A0BF,밀로틱 ex,RR,5,True,KO,UNDER10
CRD_B7345EED8A0E4A05B2C2,마그카르고 ex,RR,5,True,KO,UNDER10
CRD_205C20056CBF48F8B08D,메타몽,PR,5,True,KO,UNDER10
CRD_B30DFCBCDFBA21BE1C07,피카츄,PR,5,True,KO,UNDER10
CRD_6BFE78CBD4924CF285F9,메가염무왕 ex,RR,5,True,KO,UNDER10
CRD_2A1817BBD07C4C22A018,나오하 ex,RR,5,True,KO,UNDER10
CRD_B9C22C1213704F5AAF1B,무쇠잎새 ex,RR,5,True,KO,UNDER10
CRD_D6A12AB9F5294283B6D9,이브이,P,5,False,,ORPHAN
CRD_13901C5572724AADB8AA,팔데아 토오 ex,RR,5,True,KO,UNDER10
CRD_A8210A464976421F9923,메가염무왕 ex,RR,5,True,KO,UNDER10
CRD_EA0059F230D4B436EAE5B890AB606333,판쵸 피카츄 (리자몽 Y),PR,5,True,JP,UNDER10
CRD_5C16965B4D8C4C77943D,리피아 ex,RR,5,True,KO,UNDER10
CRD_C98EFDB78A3045E8B138,릴리에의 삐삐 ex,RR,5,True,KO,UNDER10
CRD_E1D6B66C8AB24CFC89FA,그우린차 ex,RR,5,True,KO,UNDER10
CRD_D6BD7408ABA74C26951D,성호의 메타그로스 ex,RR,5,True,KO,UNDER10
CRD_91F9D869C7DF4777B799,오거폰 벽록의 가면 ex,RR,5,True,KO,UNDER10
CRD_EF3512D636064758A7B4,메가개굴닌자 ex,RR,5,True,KO,UNDER10
CRD_33CA09BF26188C6BDA6EA9F79332A025,판쵸 피카츄 (리자몽 X),PR,5,True,JP,UNDER10
CRD_D041ACC237314A96985C,맘모꾸리 ex,RR,5,True,KO,UNDER10
CRD_F4C1735159F14F65A589,메가디안시 ex,RR,5,True,KO,UNDER10
CRD_8C028EC35A4A49469342,난천의 한카리아스 ex,RR,5,True,KO,UNDER10
CRD_F9B21FCBE1B640D5ACF7,과미드라 ex,RR,5,True,KO,UNDER10
CRD_B1DFD3C3E5BB4423BF03,님피아 ex,RR,5,True,KO,UNDER10
CRD_1ECDA429B4D74A1EB5F5,호브의 자시안 ex,RR,5,True,KO,UNDER10
CRD_F2CFA15607F1FDEA1BCF0CF34AD4E71C,판쵸 피카츄 (메가도쿄 2),PR,5,True,JP,UNDER10
CRD_528E8910A24647CE96C3,레지락 ex,RR,5,True,KO,UNDER10
CRD_E884C26E081A41749A2E,볼케니온 ex,RR,5,True,KO,UNDER10
CRD_DF013D345EDD410F96BB,라우드본 ex,RR,5,True,KO,UNDER10
CRD_A01A880A185C48ADAAAF,루카리오 ex,RR,5,True,KO,UNDER10
CRD_75F07C682B69468CA27A,메가메가니움 ex,RR,5,True,KO,UNDER10
CRD_291A7074290C4BB48DC9,루카리오 ex,RR,5,False,,ORPHAN
CRD_F577A4D8CDE44F2498B6,디아루가 ex,RR,5,True,KO,UNDER10
CRD_746765E6B4BD453D839B,연격 우라오스 V,RR,5,True,KO,UNDER10
CRD_F80B857CFE91CDEB4402E3E93F29B2CB,코이킹 고꼬 피카츄,PR,5,True,JP,UNDER10
CRD_53811FEF046C46BC8D3A,레지아이스 ex,RR,5,True,KO,UNDER10
CRD_A126650873921A29A1AC79F0125D6C30,요코하마 피카츄 (282),PR,5,True,JP,UNDER10
CRD_2E8C144F443F49BBAE9B,미라이돈 ex,RR,5,True,KO,UNDER10
CRD_97D7C457DF3B41A8A619,마자용 BREAK,RR,5,True,KO,UNDER10
CRD_884CDFFE6A873A39565CEB82B1769CBA,마리오 피카츄 (293),PR,5,True,JP,UNDER10
CRD_065512D143D348EDBE3E,님피아 ex,RR,5,True,KO,UNDER10
CRD_D03B772C5E7A47F49391,레지스틸 ex,RR,5,True,KO,UNDER10
CRD_9CED595A24FE40AEBE4A,오거폰 우물의 가면 ex,RR,5,True,KO,UNDER10
CRD_8B54D921E11B4546A8D4,먹고자,P,5,False,,ORPHAN
CRD_7C49D1616BA447F592B1,가라르 파이어 V,RR,5,True,KO,UNDER10
CRD_B0077688E0674FEE8A14,시바,HR,10,True,KO,OK
CRD_29775D0DA6924EA992F1,배우르,S,10,True,KO,OK
CRD_38B5BB48C9E34092ABFE,찬란한 루차불,,10,False,,ORPHAN
CRD_3ED9185116C84CE4B8E5,찬란한 이브이,K,10,True,KO,OK
CRD_A3B4ED53661A41AD9BE6,티고라스,AR,10,True,KO,OK
CRD_D7574728F6AB49FEBD4E,님피아 VMAX,HR,10,True,KO,OK
CRD_8AC31448F8F9420FAE62,볼트로스,S,10,True,KO,OK
CRD_A416CBFC4F164B6BA7E4,코일,S,10,True,KO,OK
CRD_249FD650FBBB4F8C8E9F,AZ의 평온,SR,10,True,KO,OK
CRD_54079F1439374F52BCF7,레쿠쟈 VMAX,HR,10,True,KO,OK
CRD_287970473FD84B928D5D,카푸꼬꼬꼭(프리즘스타),PR,10,True,KO,OK
CRD_14896572D23849A88EA3,삐,S,10,True,KO,OK
CRD_2794B6F1FB74431BA82B,폭슬라이,S,10,True,KO,OK
CRD_E75AF1D183344D918F9B,태우지네,S,10,True,KO,OK
CRD_A54C3A0567954337AFBE,찌로꼬치,S,10,True,KO,OK
CRD_FF7B16FA257D49BD8EB5,보스로라 VMAX,RR,10,True,KO,OK
CRD_70824255C49C485D92BC,라이코,A,10,True,KO,OK
CRD_279CE3C2D7CE469A85E7,메탕,S,10,True,KO,OK
CRD_37FD17FC727E435B8C84,모르페코 VMAX,RR,10,True,KO,OK
CRD_B70475A6AE864D519401,파이리,S,10,False,,ORPHAN
CRD_C3CF846EB0624F398AAF,갈가부기 VMAX,HR,10,True,KO,OK
CRD_4542CCF430DC4AEE91DE,가라르 달막화,S,10,True,KO,OK
CRD_2444A7B9A8EA415D8A2F,잠만보 VMAX,HR,10,True,KO,OK
CRD_281071E67CFC40DD8688,빠모트,S,10,True,KO,OK
CRD_99598A733BBA4B09B0AD,파이리,S,10,True,KO,OK
CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,MUR,10,True,KO,OK
CRD_C2DA6134D36A43A6AAF6,성스러운분말,SR,10,False,,ORPHAN
CRD_F992B99929D74209A136,레어코일,S,10,True,KO,OK
CRD_1A87BECFAC1647F98FBC,두랄루돈 VMAX,HR,10,True,KO,OK
CRD_9C2FBC6E628A43679527,명희의 격려,SAR,10,True,KO,OK
CRD_7C3F1B3FC98A43A5AA7B,활력의 숲,SR,10,False,,ORPHAN
CRD_3D7C380DE0344900AFCD,나이킹,UR,10,True,KO,OK
CRD_09516DD8E2C14A009B0E,대로트&야느와르몽 GX,SR,10,True,KO,OK
CRD_BAA4E53EBC95419998FA,전룡 ex,RR,10,True,KO,OK
CRD_B18EB4936D3D4C3C8F78,피오니,HR,10,True,KO,OK
CRD_C1EE0F5059B0492891CF,코라이돈 ex,RR,10,False,,ORPHAN
CRD_0B5E6A47F7A34237A44A,이올브 VMAX,HR,10,True,KO,OK
CRD_D2735A48259B9E4C3366,램펄드 ex,SR,10,True,KO,OK
CRD_4B9283B93544449DBC2D,이벨타르 ex,SR,10,True,KO,OK
CRD_9379FBDE7A75416C8C5F,용접공,SR,10,True,KO,OK
CRD_A8F8B7FADADA4B9C8D2F,자루도 V,RR,10,True,KO,OK
CRD_9FA8A518D9414469BEF9,단지래플 V,RR,10,True,KO,OK
CRD_9F3F0D7B0CFA40C49558,개구마르,S,10,True,KO,OK
CRD_AD8BBF65FE79434B9A17,꼬이밍고,S,10,True,KO,OK
CRD_7BB12D81EF244F06890A,푸호꼬,AR,10,True,KO,OK
CRD_1C040171393842089CFF,고우스트,AR,10,True,KO,OK
CRD_939CD60D0A3F433EA9AD,가이오가,A,10,True,KO,OK
CRD_4E2B82591E6842DFB0EB,찬란한 히스이 포푸니크,K,10,False,,ORPHAN
CRD_36360E53452543DEB82B,고릴타 VMAX,HR,10,True,KO,OK
CRD_B96269B83CA14C11933E,뮤 V,RR,10,True,KO,OK
CRD_B253550B1F2740F395BE,베베솔트,S,10,True,KO,OK
CRD_AF5EB7BCF32F4A63B0D5,마스터드 연격의 태세,HR,10,True,KO,OK
CRD_E8F5B14A895540C6860E,제르네아스(프리즘스타),PR,10,True,KO,OK
CRD_4750AF05BE3349BBA298,코라이돈 ex,RR,10,True,KO,OK
CRD_60DCE63929FF4EDD9CEA,찬란한 가디안,K,10,True,KO,OK
CRD_C5C46399E49A476BBCF1,자시안 V,RR,10,True,KO,OK
CRD_F2B2E546E51145C0BB3F,피카츄 V,RR,10,True,KO,OK
CRD_7A536360D1EC48FB885A,피카츄,PR,10,True,KO,OK
CRD_6D19A5161A05C8F43E56,메가제라오라 ex,RR,10,True,KO,OK
CRD_1C2F4BFC2FE24963AAD6,가라르 또도가스,S,10,True,KO,OK
CRD_9E3FF9A0219649098877,팔데아 켄타로스,S,10,True,KO,OK
CRD_DF29217FC4A941819E7F,에코잉혼,UR,10,False,,ORPHAN
CRD_1050F085B2EE449DB943,하랑우탄,S,10,True,KO,OK
CRD_E8099A50DB2E477EBACA,모크나이퍼,S,10,True,KO,OK
CRD_E624293C3C374000B9C3,블래키 ex,PR,10,True,KO,OK
CRD_9B57B62C08254A7582BA,화강돌,S,10,True,KO,OK
CRD_4BEB72DA1111474B823F,다크라이 VSTAR,RR,10,False,,ORPHAN
CRD_EB501A4CDBF645CBA027,비크티니 VMAX,HR,10,True,KO,OK
CRD_00A1C8B22B694905AABF,개굴닌자 V,RR,10,True,KO,OK
CRD_FF5337092E8945C18E38,조로아,S,10,True,KO,OK
CRD_768441CE9EA84982800D,솜솜코,S,10,True,KO,OK
CRD_E037A348D10F4C8C9277,음뱃,S,10,True,KO,OK
CRD_41167277B8FA42F693CA,카틀레야,HR,10,True,KO,OK
CRD_DDBAAD42F90D7CB5F1B8,무쿠,SR,10,True,KO,OK
CRD_CC99F95ECF194AAFBB28,빠르모트 ex,RR,10,True,KO,OK
CRD_5E38B57AA54A42D3BA96,음번 ex,RR,10,True,KO,OK
CRD_828C74272B23470D9991,그랑블루 V,RR,10,True,KO,OK
CRD_0FFEF15EE9E045CABE6F,연격 우라오스 VMAX,HR,10,True,KO,OK
CRD_5468B5F7E7644C059874,석탄산 VMAX,HR,10,True,KO,OK
CRD_0630709EA5124F718749,염뉴트,AR,10,True,KO,OK
CRD_606F71558BA8468DA1FE,어써러셔,S,10,True,KO,OK
CRD_6C79F815204042AB91D4,킹크랩 VMAX,RR,10,True,KO,OK
CRD_4DFC063703184E429E4F,가디안 VMAX,HR,10,True,KO,OK
CRD_AE83ACAA6B9D4A4996BD,스쿨걸,HR,10,True,KO,OK
CRD_906D53B007894C89866E,뮤츠 GX,SM-P,10,True,KO,OK
CRD_AF8736ECE64947D5A57B,고릴타,UR,10,True,KO,OK
CRD_D9FDD63E25B848EAAE06,카푸꼬꼬꼭(프리즘스타),PR,10,True,KO,OK
CRD_321DE0F8BCA944D8BF43,때때무노,S,10,True,KO,OK
CRD_1B7FAED9F23141518159,레지락 V,RR,10,True,KO,OK
CRD_75B6983BC68F478F89E9,일레즌,S,10,True,KO,OK
CRD_FC4C68E9A71046EC9744,스트린더 VMAX,HR,10,True,KO,OK
CRD_899C71FEF9DC4CDFB0EF,메탕,AR,10,True,KO,OK
CRD_AD060C8436D94B1B8AF4,하랑우탄,UR,10,False,,ORPHAN
CRD_85A4AA81199D42D8B160,피비,HR,10,True,KO,OK
CRD_8A64A02FB1604C62BD2140CE72FDA2D7,로토무,AR,10,True,KO,OK
CRD_17D9AE509B3F4B1A8EB2,세레비,A,10,True,KO,OK
CRD_830603D507F941958180,아르세우스 VSTAR,HR,10,True,KO,OK
CRD_6FF014B0CBF4472C9593,마릴,AR,10,True,KO,OK
CRD_7F2DC1D44D784529BCCE,M한카리아스 EX,PR,10,True,KO,OK
CRD_031003EE522945D8A175,드라꼰,S,10,True,KO,OK
CRD_A7343D8846554AA39698,채키몽,S,10,False,,ORPHAN
CRD_7CB42882DB184472A73A,가라르 마임맨,S,10,True,KO,OK
CRD_E4D0E0A32E434B4396AD,박사의 연구(매그놀리아박사),HR,10,True,KO,OK
CRD_1B75DAEB61EA4A2D9A2A,마스터드 일격의 태세,HR,10,True,KO,OK
CRD_EDB2D7BB9EB141A49767,페로코체,S,10,True,KO,OK
CRD_37CAD2854A2A45769811,콜로솔트,S,10,True,KO,OK
CRD_093AB925F0C14BB1BFF6,글레이시아 VMAX,HR,10,True,KO,OK
CRD_8318097459A64ECD8473,파이어로,AR,10,True,KO,OK
CRD_1B2ADC910BB140BE8F44,흑마 버드렉스 VMAX,HR,10,True,KO,OK
CRD_C726940566D64B5D97C1,올리뇨,S,10,True,KO,OK
CRD_496BA4D8911D4BBABCD9,다크라이 V,RR,10,True,KO,OK
CRD_141407CDC6C3483B9AF1,빛나는 레쿠쟈,A,10,True,KO,OK
CRD_7EE4D1F73DD34E3E8CA6,포켓몬 브리더의 육성,HR,10,True,KO,OK
CRD_810E1D47AA834EEFB64E,파치르돈,S,10,True,KO,OK
CRD_41E509EE2DEB451BB2ED,스라크,S,10,True,KO,OK
CRD_43B0B8BE00C44F0FB400,전룡,AR,10,True,KO,OK
CRD_25A858D01145493BB66AF82B8EA32B7C,메가리자몽Y ex,MUR,10,True,KO,OK
CRD_46355D0F57297D6AEAE6,무쿠,SAR,10,True,KO,OK
CRD_EE2DE0499447479491AB,타입:널,S,10,True,KO,OK
CRD_13558DB4C891415388DF,케오퍼스,S,10,True,KO,OK
CRD_32686724596F433298EB,자시안 V,UR,10,True,KO,OK
CRD_CE167D5150A34D07B7AF,리자몽 V,SR,10,True,KO,OK
CRD_702857AB918C4E93B38D,야콘,SR,10,True,KO,OK
CRD_82702EEBF6134FF1A729,어래곤,S,10,True,KO,OK
CRD_64C02283DD0E49BEA124,갸라도스 GX,RR,10,True,KO,OK
CRD_04AF7F36245442EBBCF9,보스로라 V,RR,10,True,KO,OK
